automaton,states,transitions,letters,num_constraints,num_spurious_constraints,num_nbp_constraints,num_true_constraints,num_unknown_constraints
bdd-2@commons-fileupload@commons-fileupload-bddminer06566,1,2,2,0,0,0,0,0
bdd-2@commons-codec@commons-codec-bddminer06832,2,3,2,1,0,1,0,0
bdd-2@commons-exec@commons-exec-bddminer01089,2,3,2,1,1,0,0,0
bdd-2@commons-fileupload@commons-fileupload-bddminer06433,2,3,2,1,1,0,0,0
bdd-2@commons-validator@commons-validator-bddminer16167,2,3,2,1,1,0,0,0
bdd-2@joda-convert@joda-convert-bddminer01442,2,3,2,1,0,1,0,0
bdd-3@commons-fileupload@commons-fileupload-bddminer01072,2,3,3,3,2,0,0,1
bdd-3@commons-validator@commons-validator-bddminer06658,2,3,3,3,3,0,0,0
bdd-3@joda-convert@joda-convert-bddminer00034,2,3,3,3,3,0,0,0
dsm-manual@joda-convert@org.joda.convert.AnnotationStringConverterFactory,2,7,6,0,0,0,0,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.ISBNValidator,2,8,7,0,0,0,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.binary.Base16OutputStream,2,8,7,0,0,0,0,0
dsm-manual@kamranzafar.jtar@org.kamranzafar.jtar.TarEntry,3,15,7,0,0,0,0,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.disk.DiskFileItem,3,19,9,0,0,0,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.Var,3,23,11,0,0,0,0,0
dsm-randoop@commons-fileupload@org.apache.commons.fileupload2.disk.DiskFileItem,3,33,22,0,0,0,0,0
bdd-3@commons-codec@commons-codec-bddminer103219,4,8,3,2,2,0,0,0
bdd-3@commons-exec@commons-exec-bddminer03817,4,8,3,2,0,2,0,0
bdd-3@kamranzafar.jtar@kamranzafar.jtar-bddminer00156,4,8,3,2,2,0,0,0
dsm-randoop@commons-exec@org.apache.commons.exec.launcher.CommandLauncher,4,8,3,0,0,0,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,4,8,3,0,0,0,0,0
dsm-randoop@commons-fileupload@org.apache.commons.fileupload2.servlet.ServletFileUpload,4,34,16,0,0,0,0,0
dsm-randoop@commons-exec@org.apache.commons.exec.TimeoutObserver,5,5,1,0,0,0,0,0
javert@commons-validator@commons-validator-javert00003,5,12,12,42,41,1,0,0
javert@commons-codec@commons-codec-javert00057,6,11,11,45,24,9,0,12
dsm-manual@commons-validator@org.apache.commons.validator.ValidatorResult,6,17,5,4,2,0,1,1
dsm-manual@commons-validator@org.apache.commons.validator.routines.DomainValidator,7,16,8,10,4,6,0,0
dsm-manual@commons-exec@org.apache.commons.exec.DefaultExecuteResultHandler,7,25,7,13,5,1,0,0
dsm-manual@commons-validator@org.apache.commons.validator.ValidatorAction,8,69,22,0,0,0,0,0
dice@commons-validator@org.apache.commons.validator.TypeBean,9,11,7,25,25,0,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.MatchRatingApproachEncoder,9,27,11,27,25,2,0,0
javert@commons-validator@commons-validator-javert00012,10,11,11,73,51,22,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.bm.Rule,10,14,3,3,3,0,0,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.AbstractFormatValidator,10,42,6,0,0,0,0,0
dsm-randoop@commons-exec@org.apache.commons.exec.Watchdog,10,61,6,0,0,0,0,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.DomainValidatorArrayType,11,11,1,0,0,0,0,0
javert@commons-validator@commons-validator-javert00004,11,11,11,108,82,19,0,7
javert@commons-fileupload@commons-fileupload-javert00014,12,12,12,132,115,13,0,4
dsm-randoop@commons-validator@org.apache.commons.validator.routines.AbstractFormatValidator,12,47,6,0,0,0,0,0
javert@commons-fileupload@commons-fileupload-javert00002,13,13,13,156,139,14,0,3
dsm-manual@commons-exec@org.apache.commons.exec.launcher.CommandLauncher,13,19,2,0,0,0,0,0
dsm-manual@joda-convert@org.joda.convert.TypedStringConverter,13,22,3,2,2,0,0,0
dsm-randoop@joda-convert@org.joda.convert.RenameHandler,13,35,10,35,21,5,0,9
dsm-manual@commons-exec@org.apache.commons.exec.ExecuteStreamHandler,14,14,5,12,6,0,0,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.FileUploadBaseFileItemIteratorImplFileItemStreamImpl,15,18,2,0,0,0,0,0
dsm-manual@commons-exec@org.apache.commons.exec.LogOutputStreamByteArrayOutputStreamX,15,33,4,4,4,0,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.DoubleMetaphoneDoubleMetaphoneResult,15,92,11,0,0,0,0,0
javert@commons-fileupload@commons-fileupload-javert00001,16,17,17,192,61,78,0,53
dsm-manual@commons-validator@org.apache.commons.validator.routines.IBANValidator,16,23,6,3,1,2,0,0
dsm-manual@commons-validator@org.apache.commons.validator.ValidatorResultResultStatus,17,18,2,0,0,0,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.bm.NameType,18,19,2,1,1,0,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.net.PercentCodec,18,60,13,28,20,8,0,0
dsm-manual@joda-convert@org.joda.convert.RenameHandler,19,48,8,28,20,5,0,3
dsm-randoop@commons-codec@org.apache.commons.codec.language.bm.RuleType,20,20,1,0,0,0,0,0
javert@commons-validator@commons-validator-javert00021,20,20,20,374,283,61,2,28
dsm-manual@commons-validator@org.apache.commons.validator.routines.ISSNValidator,20,35,5,0,0,0,0,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.TimeValidator,20,67,18,57,57,0,0,0
dsm-manual@commons-validator@org.apache.commons.validator.Arg,20,91,6,3,3,0,0,0
dsm-manual@commons-exec@org.apache.commons.exec.Executor,21,102,11,0,0,0,0,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.DoubleMetaphone,22,81,14,11,10,1,0,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.ParameterParser,22,100,10,22,5,13,0,4
dsm-randoop@joda-convert@org.joda.convert.StringConvert,23,96,17,70,44,21,0,5
dsm-randoop@commons-codec@org.apache.commons.codec.digest.DigestUtils,24,129,13,0,0,0,0,0
dsm-manual@commons-exec@org.apache.commons.exec.CommandLine,24,144,14,13,2,11,0,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.AbstractCalendarValidator,26,159,15,21,21,0,0,0
