spec,constraint-gen,constraint-filtering,\dsiplus
bdd-2@commons-fileupload@commons-fileupload-bddminer06566,0,7,0
bdd-2@joda-convert@joda-convert-bddminer01442,1,1,31
bdd-2@commons-validator@commons-validator-bddminer16167,1,1,47
bdd-2@commons-fileupload@commons-fileupload-bddminer06433,0,1,34
bdd-2@commons-exec@commons-exec-bddminer01089,1,1,157
bdd-2@commons-codec@commons-codec-bddminer06832,1,2,38
bdd-3@commons-validator@commons-validator-bddminer06658,1,1,48
bdd-3@commons-fileupload@commons-fileupload-bddminer01072,0,1,57
bdd-3@commons-exec@commons-exec-bddminer03817,1,2,83
bdd-3@commons-codec@commons-codec-bddminer103219,1,1,80
bdd-3@joda-convert@joda-convert-bddminer00034,0,1,35
bdd-3@kamranzafar.jtar@kamranzafar.jtar-bddminer00156,0,1,26
javert@commons-validator@commons-validator-javert00003,0,6,87
javert@commons-codec@commons-codec-javert00057,1,5,411
dsm-randoop@commons-exec@org.apache.commons.exec.TimeoutObserver,1,1,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,1,2,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.MatchRatingApproachEncoder,1,5,164
dsm-randoop@commons-fileupload@org.apache.commons.fileupload2.disk.DiskFileItem,0,32,0
dsm-randoop@commons-validator@org.apache.commons.validator.Var,1,6,0
dsm-randoop@commons-fileupload@org.apache.commons.fileupload2.servlet.ServletFileUpload,0,14,0
dsm-randoop@commons-codec@org.apache.commons.codec.binary.Base16OutputStream,1,3,0
dsm-randoop@commons-exec@org.apache.commons.exec.launcher.CommandLauncher,0,1,0
dsm-manual@joda-convert@org.joda.convert.AnnotationStringConverterFactory,0,1,0
dsm-manual@kamranzafar.jtar@org.kamranzafar.jtar.TarEntry,1,3,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.disk.DiskFileItem,1,4,0
dsm-manual@commons-validator@org.apache.commons.validator.ValidatorResult,1,2,129
dsm-manual@commons-validator@org.apache.commons.validator.ValidatorAction,1,34,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.DomainValidator,0,3,100
dsm-manual@commons-exec@org.apache.commons.exec.DefaultExecuteResultHandler,1,3,255
dsm-manual@commons-validator@org.apache.commons.validator.routines.ISBNValidator,0,2,0
dsm-manual@joda-convert@org.joda.convert.TypedStringConverter,0,1,36
dsm-manual@commons-codec@org.apache.commons.codec.binary.BaseNCodec,0,35,0
dsm-manual@commons-codec@org.apache.commons.codec.binary.Hex,0,7,0
dsm-manual@commons-exec@org.apache.commons.exec.CommandLine,1,20,191
dsm-manual@commons-exec@org.apache.commons.exec.ExecuteStreamHandler,0,2,341
dsm-manual@commons-exec@org.apache.commons.exec.Executor,1,9,0
dsm-manual@commons-exec@org.apache.commons.exec.LogOutputStream$ByteArrayOutputStreamX,1,2,193
dsm-manual@commons-exec@org.apache.commons.exec.PumpStreamHandler,0,4,193
dsm-manual@commons-exec@org.apache.commons.exec.launcher.CommandLauncher,1,2,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.FileUploadBase$FileItemIteratorImpl$FileItemStreamImpl,1,1,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.MultipartStream$ItemInputStream,1,2,0
dsm-manual@commons-fileupload@org.apache.commons.fileupload2.ParameterParser,1,7,102
dsm-manual@commons-validator@org.apache.commons.validator.Arg,0,3,48
dsm-manual@commons-validator@org.apache.commons.validator.ValidatorResult$ResultStatus,1,1,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.AbstractCalendarValidator,1,23,63
dsm-manual@commons-validator@org.apache.commons.validator.routines.AbstractFormatValidator,1,3,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.IBANValidator,1,2,47
dsm-manual@commons-validator@org.apache.commons.validator.routines.ISSNValidator,1,2,0
dsm-manual@commons-validator@org.apache.commons.validator.routines.TimeValidator,1,16,110
dsm-manual@joda-convert@org.joda.convert.RenameHandler,0,3,114
dsm-manual@joda-convert@org.joda.convert.StringConvert,0,473,121
dsm-randoop@commons-codec@org.apache.commons.codec.binary.Base16InputStream,0,23,0
dsm-randoop@commons-codec@org.apache.commons.codec.digest.DigestUtils,1,11,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.DoubleMetaphone,1,11,87
dsm-randoop@commons-codec@org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,0,9,0
dsm-randoop@commons-codec@org.apache.commons.codec.language.bm.NameType,1,2,73
dsm-randoop@commons-codec@org.apache.commons.codec.language.bm.Rule,0,1,126
dsm-randoop@commons-codec@org.apache.commons.codec.language.bm.RuleType,1,1,0
dsm-randoop@commons-codec@org.apache.commons.codec.net.PercentCodec,1,8,99
dsm-randoop@commons-exec@org.apache.commons.exec.Watchdog,1,3,0
dsm-randoop@commons-fileupload@org.apache.commons.fileupload2.MultipartStream,0,46,0
dsm-randoop@commons-validator@org.apache.commons.validator.FormSet,0,476,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.AbstractCalendarValidator,0,5,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.AbstractFormatValidator,0,2,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.DomainValidator$ArrayType,0,0,0
dsm-randoop@joda-convert@org.joda.convert.RenameHandler,1,5,143
dsm-randoop@joda-convert@org.joda.convert.StringConvert,1,19,162
javert@commons-fileupload@commons-fileupload-javert00002,0,8,156
javert@commons-fileupload@commons-fileupload-javert00014,1,7,144
javert@commons-validator@commons-validator-javert00004,1,6,246
javert@commons-validator@commons-validator-javert00012,0,5,188
javert@commons-validator@commons-validator-javert00021,0,18,734
dsm-manual@commons-validator@org.apache.commons.validator.Field,0,500,49
dsm-randoop@commons-validator@org.apache.commons.validator.routines.DomainValidator,0,10,30
dsm-randoop@commons-validator@org.apache.commons.validator.ValidatorResources,1,370,28
dsm-randoop@commons-codec@org.apache.commons.codec.binary.BaseNCodec,1,126,0
dsm-randoop@commons-validator@org.apache.commons.validator.routines.TimeValidator,1,20684,0
dice@commons-validator@org.apache.commons.validator.routines.DateValidator,1,104,147
dice@commons-exec@org.apache.commons.exec.InputStreamPumper,1,3,262
dice@commons-codec@org.apache.commons.codec.language.DaitchMokotoffSoundex,1,3,38
dice@commons-validator@org.apache.commons.validator.routines.TimeValidator,1,26,76
dice@commons-exec@org.apache.commons.exec.ExecuteStreamHandler,1,2,321
dice@commons-exec@org.apache.commons.exec.LogOutputStream$ByteArrayOutputStreamX,0,1,192
dice@commons-validator@org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,1,1,0
dice@joda-convert@org.joda.convert.AnnotationStringConverterFactory,1,3,36
dsm-randoop@commons-exec@org.apache.commons.exec.CommandLine,0,2280,82
dsm-randoop@commons-validator@org.apache.commons.validator.routines.CurrencyValidator,1,2888,0
dsm-randoop@commons-exec@org.apache.commons.exec.PumpStreamHandler,1,1861,82
dice@commons-codec@org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32,1,2,0
dice@commons-codec@org.apache.commons.codec.language.Nysiis,0,2,0
dice@joda-convert@org.joda.convert.StringConverter,1,1,0
dice@kamranzafar.jtar@org.kamranzafar.jtar.TarOutputStream,0,4,42
dice@commons-exec@org.apache.commons.exec.ExecuteWatchdog,1,7,253
dice@commons-validator@org.apache.commons.validator.routines.CalendarValidator,0,46,109
dice@commons-codec@org.apache.commons.codec.net.BCodec,1,12,87
dice@commons-codec@org.apache.commons.codec.net.URLCodec,1,10,0
javert@commons-fileupload@commons-fileupload-javert00001,1,12,283
dice@commons-validator@org.apache.commons.validator.TypeBean,1,3,68
dice@commons-codec@org.apache.commons.codec.net.QCodec,1,12,225
dice@commons-codec@org.apache.commons.codec.net.RFC1522Codec,0,1,0
TOTAL,61,30405,7909
AVG,.61,304.05,79.09
