id,lv-assertions,lv-exceptions,u-assertions,u-exceptions
00001,0,0,5,0
00002,3,0,0,2
00003,3,0,0,2
00004,0,0,0,0
00005,3,0,0,2
00006,3,0,0,0
00007,3,0,0,0
00008,0,0,0,0
00009,3,0,0,0
00010,0,0,1,0
00011,0,0,3,0
00012,0,0,3,0
00013,0,0,3,1
00014,0,2,0,0
00015,0,1,0,0
00016,0,2,0,0
00017,0,1,0,0
00018,0,2,0,0
00019,0,1,0,0
00020,15,6,0,0
00021,4,20,0,0
00022,0,0,4,20
00023,0,0,4,20
00024,11,35,0,0
00025,0,0,4,20
00026,0,0,0,0
00027,0,0,0,0
00028,0,0,0,0
00029,2,0,0,0
00030,0,0,0,0
00031,2,0,0,0
00032,1,4,0,0
00033,1,3,0,0
00034,0,0,0,0
00035,0,0,0,0
00036,0,0,0,0
00037,0,0,0,0
00038,0,20,0,0
00039,2,28,0,0
00040,2,28,0,0
00041,0,20,0,0
00042,2,1,0,0
00043,2,28,0,0
00044,0,0,4,22
00045,0,0,10,38
00046,0,0,10,38
00047,0,0,4,22
00048,0,0,0,0
00049,0,0,1,0
00050,0,0,0,0
00051,0,0,0,0
00052,0,0,0,0
00053,0,0,3,0
00054,0,0,3,0
00055,0,0,0,0
00056,0,0,0,0
00057,0,0,1,0
00058,0,0,0,0
00059,0,0,0,0
00060,0,0,0,0
00061,0,0,0,0
00062,0,0,0,0
00063,0,0,0,0
00064,0,0,0,0
00065,0,0,0,0
00066,0,0,0,0
00067,0,0,0,0
00068,0,5,0,0
00069,0,0,0,0
00070,0,0,0,0
00071,0,0,0,0
00072,0,0,0,2
00073,0,0,24,0
00074,0,0,24,0
00075,0,0,0,0
00076,0,0,24,0
00077,0,0,26,0
00078,0,0,2,0
00079,4,0,8,0
00080,0,0,6,0
00081,0,0,8,0
00082,0,0,8,0
00083,0,0,6,0
00084,0,0,6,0
00085,0,0,8,0
00086,0,0,16,0
00087,0,0,18,0
00088,0,0,16,0
00089,0,0,16,0
00090,0,0,18,0
00091,0,0,2,0
00092,4,0,7,0
00093,0,0,0,0
00094,0,0,4,0
00095,0,0,0,0
00096,0,0,0,0
00097,0,0,4,0
00098,0,0,0,0
00099,0,0,0,0
00100,0,0,0,0
