id,lv-assertions,lv-exceptions,u-assertions,u-exceptions
00001,0,12,0,0
00002,0,0,0,1
00003,0,0,8,0
00004,0,0,0,39
00005,0,39,0,0
00006,0,0,0,22
00007,0,0,0,22
00008,0,0,0,9
00009,0,0,0,18
00010,0,0,0,24
00011,0,0,0,7
00012,0,0,0,22
00013,0,0,0,7
00014,0,0,0,29
00015,0,0,0,29
00016,0,0,0,16
00017,0,0,0,25
00018,0,0,0,31
00019,0,0,0,14
00020,0,0,0,29
00021,0,0,0,14
00022,0,0,0,2
00023,0,0,0,0
00024,0,0,0,0
00025,0,0,0,0
00026,0,0,2,0
00027,0,0,0,0
00028,2,1,0,0
00029,0,0,0,0
00030,0,0,0,0
00031,0,0,0,0
00032,0,0,0,0
00033,0,0,0,0
00034,0,0,0,0
00035,0,0,0,0
00036,0,0,0,3
00037,0,0,0,3
00038,0,0,0,3
00039,0,0,0,9
00040,0,0,0,9
00041,0,0,0,3
00042,0,0,0,3
00043,0,0,0,3
00044,0,0,0,0
00045,0,0,0,0
00046,0,0,0,0
00047,0,0,0,0
00048,0,0,0,0
00049,0,0,0,0
00050,0,0,0,0
00051,0,0,0,0
00052,0,0,0,0
00053,0,0,0,0
00054,0,0,0,0
00055,0,0,0,0
00056,0,0,0,0
00057,0,0,0,0
00058,0,0,0,0
00059,0,0,0,0
00060,0,0,0,0
00061,0,0,0,0
00062,0,0,0,0
00063,0,0,0,0
00064,0,0,0,0
00065,0,0,0,0
00066,0,0,0,0
00067,0,0,0,0
00068,0,0,0,0
00069,0,0,0,0
00070,0,0,0,0
00071,0,0,0,0
00072,0,0,0,0
00073,0,0,1,0
00074,0,0,1,0
00075,0,0,90,0
00076,1,0,0,0
00077,0,0,0,0
00078,0,0,1,0
00079,0,0,0,0
00080,0,0,0,0
00081,0,0,1,0
00082,1,0,0,0
00083,0,0,1,0
00084,0,0,0,1
00085,0,0,0,1
00086,0,0,0,1
00087,0,1,0,0
00088,0,1,0,0
00089,0,0,0,1
00090,0,0,0,0
00091,0,0,0,1
00092,0,0,0,1
00093,0,0,101,0
00094,0,0,85,0
00095,0,0,85,0
00096,0,0,85,0
00097,0,0,1,0
00098,0,0,1,0
00099,0,0,90,0
00100,0,0,91,0
00101,0,0,3,0
00102,0,0,0,0
00103,0,0,0,0
00104,0,0,0,0
00105,0,1,0,0
00106,0,0,0,0
00107,0,0,0,73
00108,0,0,0,73
