id,lv-assertions,lv-exceptions,u-assertions,u-exceptions
00001,0,0,0,1
00002,0,0,0,1
00003,0,0,0,1
00004,0,0,0,1
00005,0,0,0,16
00006,0,0,0,12
00007,0,0,0,16
00008,0,0,0,16
00009,0,0,0,0
00010,1,4,0,0
00011,1,4,0,0
00012,0,0,0,0
00013,0,0,1,8
00014,0,0,0,1
00015,0,0,0,16
00016,0,0,0,12
00017,0,0,0,16
00018,0,0,1,0
00019,0,0,1,0
00020,0,0,6,0
00021,0,0,11,0
00022,0,0,11,0
00023,0,0,0,0
00024,0,0,0,0
00025,0,0,0,0
00026,0,0,0,0
00027,0,0,0,0
00028,0,0,0,0
00029,0,0,0,0
00030,0,0,0,0
00031,0,0,0,0
00032,0,0,4,0
00033,0,0,0,0
00034,0,0,0,0
00035,0,0,0,0
00036,0,0,4,0
00037,0,0,34,0
00038,0,0,6,0
00039,0,0,34,0
00040,0,0,2,0
00041,0,0,0,0
00042,0,0,1,0
00043,0,0,0,0
00044,0,0,6,0
00045,0,0,6,0
00046,0,0,0,0
00047,0,0,6,0
00048,0,0,19,0
00049,0,0,0,0
00050,0,0,14,0
00051,0,0,0,0
00052,0,0,23,0
00053,0,0,4,0
00054,0,0,0,0
00055,0,0,23,0
00056,0,0,2,0
00057,0,0,2,0
00058,0,0,2,0
00059,0,0,17,0
00060,0,0,0,1
00061,0,0,0,16
00062,0,0,0,16
00063,0,0,0,12
00064,0,0,0,16
00065,0,0,0,16
00066,0,0,0,38
00067,0,0,0,26
00068,0,0,0,20
00069,0,0,0,20
00070,0,0,0,2
00071,0,0,17,5
00072,0,0,19,8
00073,0,0,19,30
00074,0,0,0,2
00075,0,0,0,19
00076,0,0,1,15
00077,0,0,2,11
00078,0,0,2,30
00079,0,0,0,9
00080,0,0,0,2
00081,0,0,0,2
00082,0,0,0,2
00083,0,0,0,2
00084,0,0,17,13
00085,0,0,20,12
00086,0,0,0,2
00087,0,0,0,19
00088,0,0,1,15
00089,0,0,2,11
00090,0,0,0,0
00091,0,0,0,0
00092,0,0,0,0
00093,0,0,0,0
00094,0,0,0,1
00095,0,1,0,0
00096,0,1,0,0
00097,0,1,0,0
00098,0,0,0,1
00099,0,1,0,0
00100,0,1,0,0
00101,0,1,0,0
00102,0,0,2,1
00103,0,0,0,2
00104,0,2,0,0
00105,0,2,0,0
00106,0,0,1,2
00107,0,2,0,0
00108,0,0,0,0
00109,0,0,0,0
00110,0,0,0,0
00111,0,0,0,0
00112,0,0,0,0
00113,0,0,0,0
00114,0,0,0,0
00115,0,0,0,0
00116,0,0,0,0
00117,0,0,0,0
00118,0,0,0,0
00119,0,0,0,0
00120,0,0,0,0
00121,0,0,0,0
00122,0,0,0,0
00123,0,0,0,0
00124,0,0,0,0
00125,0,0,0,0
00126,0,0,0,0
00127,0,0,0,0
00128,0,0,0,0
00129,0,0,0,0
00130,0,0,0,0
00131,0,0,0,0
00132,0,0,0,0
00133,0,0,0,0
00134,0,0,0,0
00135,0,0,0,0
00136,0,0,0,0
00137,0,0,0,0
00138,0,0,0,0
00139,0,0,0,0
00140,0,0,0,0
00141,0,0,0,0
00142,0,0,0,0
00143,0,0,0,0
00144,0,0,0,0
00145,0,0,0,0
00146,0,0,0,0
00147,0,0,0,0
00148,0,0,0,0
00149,0,0,0,0
00150,0,0,0,0
00151,0,0,0,0
00152,0,0,0,0
00153,0,0,0,0
00154,0,0,0,0
00155,0,0,0,0
00156,0,0,0,0
00157,0,0,0,0
00158,0,0,0,0
00159,0,0,0,0
00160,0,0,0,0
00161,0,0,0,0
00162,0,0,0,0
00163,0,0,0,0
00164,0,0,0,0
00165,0,0,0,0
00166,0,0,0,0
00167,0,0,0,0
00168,0,0,0,0
00169,0,0,0,0
00170,0,0,0,0
00171,0,0,0,0
00172,0,0,0,0
00173,0,0,0,0
00174,0,0,0,0
00175,0,0,0,0
00176,0,0,0,0
00177,0,0,0,0
00178,0,0,0,0
00179,0,0,0,0
00180,0,0,0,0
00181,0,0,0,0
00182,0,0,0,0
00183,0,0,0,0
00184,0,0,0,0
00185,0,0,0,0
00186,0,0,0,0
00187,0,0,0,0
00188,0,0,0,0
00189,0,0,0,0
00190,0,0,0,0
00191,0,0,0,0
00192,0,0,0,0
00193,0,0,0,0
00194,0,0,0,0
00195,0,0,0,0
00196,0,0,0,0
00197,0,0,0,0
00198,0,0,0,0
00199,0,0,0,0
00200,0,0,0,0
00201,0,0,0,0
00202,0,0,0,0
00203,0,0,0,0
00204,0,0,0,0
00205,0,0,0,0
00206,0,0,0,0
00207,0,0,2,0
00208,0,0,1,0
00209,0,0,1,0
00210,0,0,1,0
