spec,tests-with-perturb,total-tests
00013,1,4
00016,1,4
00028,1,13
00030,1,7
00036,1,7
00039,1,4
00040,1,4
00058,1,23
00059,3,6
00072,1,5
00073,1,5
00074,1,5
00078,1,7
00079,1,9
00086,1,7
00087,3,6
00122,2,12
00150,2,11
00187,2,6
00193,2,6
00218,14,22
00219,14,22
00220,6,8
00237,14,21
00239,14,21
00240,14,21
00241,6,8
00250,2,17
00280,3,6
00292,3,6
00296,2,2
00297,2,2
00298,2,2
00299,1,1
00300,2,2
00301,2,2
00302,2,3
00303,2,2
00304,2,2
00305,3,5
00316,2,3
00317,2,2
00318,2,2
00319,1,1
00320,2,2
00321,2,2
00322,2,3
00323,2,2
00324,2,2
00326,2,3
00327,2,3
