spec,test,#-NOT_RUN,#-FIRST_DELAYED,#-BEFORE_SECOND,#-SECOND_EXECUTED,#-COMPLETE,total,is_second_not_run
00003,FieldTest#testOverrideUsingPositionB,0,1,0,0,1,2,0
00003,FieldTest#testDefaultPositionImplied,0,2,0,0,0,2,0
00003,FieldTest#testOverrideUsingPositionA,0,2,0,0,1,3,0
00003,FieldTest#testDefaultSomePositions,0,2,0,0,1,3,0
00003,FieldTest#testOverrideSomePosition,0,2,0,0,1,3,0
00003,FieldTest,0,2,0,0,2,4,0
00003,FieldTest#testOverridePositionImplied,0,2,0,0,0,2,0
00003,FieldTest#testDefaultOnePosition,0,2,0,0,1,3,0
00023,GenericTypeValidatorTest#testUSLocale,0,0,0,0,7,7,0
00023,GenericTypeValidatorTest#testFRLocale,0,0,0,0,7,7,0
00023,GenericTypeValidatorTest,0,0,0,0,13,13,0
00023,GenericTypeValidatorTest#testType,0,0,0,0,6,6,0
00026,VarTest,0,2,0,0,0,2,0
00026,VarTest#testVars,0,2,0,0,0,2,0
00030,GenericTypeValidatorTest#testUSLocale,0,0,0,0,7,7,0
00030,GenericTypeValidatorTest#testFRLocale,0,0,0,0,7,7,0
00030,GenericTypeValidatorTest,0,0,0,0,13,13,0
00030,GenericTypeValidatorTest#testType,0,0,0,0,6,6,0
00052,VarTest,0,0,0,0,2,2,0
00052,VarTest#testVars,0,0,0,0,2,2,0
00075,GenericTypeValidatorTest#testUSLocale,0,7,0,0,0,7,0
00075,GenericTypeValidatorTest#testFRLocale,0,7,0,0,0,7,0
00075,GenericTypeValidatorTest,0,13,0,0,0,13,0
00075,GenericTypeValidatorTest#testType,0,6,0,0,0,6,0
00079,ValidatorTest,0,0,0,0,2,2,0
00080,ValidatorTest,0,0,0,0,2,2,0
00087,ValidatorTest,0,0,0,0,2,2,0
00088,ValidatorTest,0,0,0,0,2,2,0
00090,all-tests,0,0,0,0,2,2,0
00090,ValidatorTest,0,0,0,0,2,2,0
00094,GenericTypeValidatorTest#testUSLocale,0,7,0,0,0,7,0
00094,GenericTypeValidatorTest#testFRLocale,0,7,0,0,0,7,0
00094,GenericTypeValidatorTest,0,13,0,0,0,13,0
00094,GenericTypeValidatorTest#testType,0,6,0,0,0,6,0
00099,GenericTypeValidatorTest#testUSLocale,0,7,0,0,0,7,0
00099,GenericTypeValidatorTest#testFRLocale,0,7,0,0,0,7,0
00099,GenericTypeValidatorTest,0,13,0,0,0,13,0
00099,GenericTypeValidatorTest#testType,0,6,0,0,0,6,0
00102,ValidatorTest,0,0,0,0,2,2,0
00103,ValidatorTest,0,0,0,0,2,2,0
00104,ValidatorTest,0,0,0,0,2,2,0
00119,all-tests,0,0,0,0,2,2,0
00119,ValidatorTest,0,0,0,0,2,2,0
00121,ValidatorTest,0,0,0,0,2,2,0
00122,ValidatorTest,0,0,0,0,2,2,0
00123,ValidatorTest,0,0,0,0,2,2,0
00125,ValidatorTest,0,0,0,0,2,2,0
00127,ValidatorTest,0,0,0,0,2,2,0
00128,ValidatorTest,0,0,0,0,2,2,0
00129,ValidatorTest,0,0,0,0,2,2,0
00145,MultipleConfigFilesTest,0,0,0,0,2,2,0
00145,MultipleConfigFilesTest#testBothBlank,0,0,0,0,2,2,0
00145,MultipleConfigFilesTest#testRequiredLastNameLong,0,0,0,0,2,2,0
00145,MultipleConfigFilesTest#testRequiredLastNameShort,0,0,0,0,2,2,0
