spec,tests-with-perturb,total-tests
00003,8,9
00023,4,85
00026,2,2
00030,4,85
00052,2,26
00075,4,89
00079,1,5
00080,1,5
00087,1,5
00088,1,5
00090,2,6
00094,4,85
00099,4,89
00102,1,5
00103,1,5
00104,1,5
00119,2,6
00121,1,5
00122,1,5
00123,1,5
00125,1,5
00127,1,5
00128,1,5
00129,1,5
00145,6,6
00148,18,128
00152,6,6
00155,18,128
00160,6,6
00163,18,128
00165,4,26
00169,2,5
00170,2,5
00171,2,5
00172,2,5
00173,2,5
00176,2,5
00178,2,5
00179,2,5
00180,2,5
00182,2,5
00183,2,5
00185,2,5
00186,2,5
00187,2,5
00188,2,5
00208,3,89
00210,5,107
00348,1,5
00349,1,5
00350,1,5
00352,1,5
00355,1,5
00357,1,5
00358,1,5
00359,1,5
00360,1,5
00361,1,5
00363,1,5
00364,2,6
00365,2,6
00367,1,5
00368,1,5
00369,1,5
00371,1,5
00374,1,5
00376,1,5
00377,1,5
00378,1,5
00379,1,5
00380,1,5
00382,1,5
00383,2,6
00385,1,5
00386,1,5
00387,1,5
00389,1,5
00392,1,5
00394,1,5
00395,1,5
00396,1,5
00397,1,5
00398,1,5
00400,1,5
00402,1,5
00403,1,5
00404,1,5
00406,1,5
00409,1,5
00411,1,5
00412,1,5
00413,1,5
00414,1,5
00415,1,5
00417,1,5
00418,2,6
00419,2,6
00420,2,6
00421,1,115
00422,1,115
00424,1,100
00426,2,115
00427,1,115
00433,1,109
00437,1,128
00439,1,5
00440,1,5
00441,1,5
00445,1,5
00446,1,5
00449,1,100
00451,2,115
00457,1,5
00459,1,13
00462,1,100
00465,1,110
00471,1,99
00473,1,110
00479,1,110
00480,2,131
00481,1,110
00482,1,13
00483,1,110
00484,1,109
00485,1,109
00486,1,110
00490,1,128
00491,1,128
00492,2,115
00493,1,110
00494,1,110
00497,3,134
00500,1,110
00503,20,82
00506,21,83
00507,22,84
00509,3,3
00510,3,3
00512,3,3
00554,1,1
00555,1,1
00556,4,4
00557,1,1
00558,1,1
00559,1,1
00578,1,6
00579,1,7
00623,1,7
00625,1,7
00626,1,7
00627,1,7
00628,1,7
00629,1,9
