method-a,method-b,verdict
org.apache.commons.exec.CommandLine.addArgument(Ljava/lang/String;)Lorg/apache/commons/exec/CommandLine;,org.apache.commons.exec.CommandLine.addArgument(Ljava/lang/String;Z)Lorg/apache/commons/exec/CommandLine;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.addArguments([Ljava/lang/String;)Lorg/apache/commons/exec/CommandLine;,org.apache.commons.exec.CommandLine.addArguments([Ljava/lang/String;Z)Lorg/apache/commons/exec/CommandLine;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.addArguments(Ljava/lang/String;)Lorg/apache/commons/exec/CommandLine;,org.apache.commons.exec.CommandLine.addArguments([Ljava/lang/String;Z)Lorg/apache/commons/exec/CommandLine;,no-break-pass (indirect)
org.apache.commons.exec.CommandLine.addArguments(Ljava/lang/String;)Lorg/apache/commons/exec/CommandLine;,org.apache.commons.exec.CommandLine.addArguments(Ljava/lang/String;Z)Lorg/apache/commons/exec/CommandLine;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.addArguments(Ljava/lang/String;Z)Lorg/apache/commons/exec/CommandLine;,org.apache.commons.exec.CommandLine.addArguments([Ljava/lang/String;Z)Lorg/apache/commons/exec/CommandLine;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.expandArgument(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.exec.CommandLine.getSubstitutionMap()Ljava/util/Map;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.getExecutable()Ljava/lang/String;,org.apache.commons.exec.CommandLine.expandArgument(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.getExecutable()Ljava/lang/String;,org.apache.commons.exec.CommandLine.getSubstitutionMap()Ljava/util/Map;,no-break-pass (indirect)
org.apache.commons.exec.CommandLine.toStrings()[Ljava/lang/String;,org.apache.commons.exec.CommandLine.expandArgument(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (indirect)
org.apache.commons.exec.CommandLine.toStrings()[Ljava/lang/String;,org.apache.commons.exec.CommandLine.getArguments()[Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.toStrings()[Ljava/lang/String;,org.apache.commons.exec.CommandLine.getExecutable()Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.exec.CommandLine.toStrings()[Ljava/lang/String;,org.apache.commons.exec.CommandLine.getSubstitutionMap()Ljava/util/Map;,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecuteResultHandler.getExitValue()I,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,spurious-spec
org.apache.commons.exec.DefaultExecuteResultHandler.waitFor(J)V,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,unknown
