method-a,method-b,verdict
org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,spurious-spec
org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,spurious-spec
org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,spurious-spec
org.joda.convert.AnnotationStringConverterFactory.findAnnotatedConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,no-break-pass (indirect)
org.joda.convert.AnnotationStringConverterFactory.findAnnotatedConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,no-break-pass (direct)
org.joda.convert.AnnotationStringConverterFactory.findAnnotatedConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,no-break-pass (indirect)
org.joda.convert.AnnotationStringConverterFactory.findAnnotatedConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,no-break-pass (direct)
org.joda.convert.AnnotationStringConverterFactory.findAnnotatedConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,no-break-pass (direct)
org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,no-break-pass (direct)
org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,no-break-pass (direct)
org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,no-break-pass (direct)
org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,spurious-spec
org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,spurious-spec
