a=org.apache.commons.validator.AbstractNumberTest.loadResources(Ljava/lang/String;)V b=org.apache.commons.validator.ByteTest.valueTest(Ljava/lang/Object;Z)V
a=org.apache.commons.validator.ValidatorAction.getParameterValues(Ljava/util/Map;)\[Ljava/lang/Object; b=org.apache.commons.validator.ValidatorAction.getValidationClassInstance()Ljava/lang/Object;
a=org.apache.commons.validator.ValidatorResult.add(Ljava/lang/String;ZLjava/lang/Object;)V b=org.apache.commons.validator.ValidatorResult.getActions()Ljava/util/Iterator;
a=org.apache.commons.cli.CommandLine.addOption(Lorg/apache/commons/cli/Option;)V b=org.apache.commons.cli.CommandLine.getOptions()[Lorg/apache/commons/cli/Option;
a=org.apache.commons.cli.HelpFormatter.getDescPadding()I b=org.apache.commons.cli.HelpFormatter.getArgName()Ljava/lang/String;
a=org.apache.commons.cli.HelpFormatter.getDescPadding()I b=org.apache.commons.cli.HelpFormatter.printHelp(Ljava/io/PrintWriter;ILjava/lang/String;Ljava/lang/String;Lorg/apache/commons/cli/Options;IILjava/lang/String;Z)V
a=org.apache.commons.cli.HelpFormatter.getDescPadding()I b=org.apache.commons.cli.HelpFormatter.printOptions(Ljava/io/PrintWriter;ILorg/apache/commons/cli/Options;II)V
a=org.apache.commons.cli.HelpFormatter.getDescPadding()I b=org.apache.commons.cli.HelpFormatter.printUsage(Ljava/io/PrintWriter;ILjava/lang/String;)V
a=org.apache.commons.cli.HelpFormatter.getDescPadding()I b=org.apache.commons.cli.HelpFormatter.printWrapped(Ljava/io/PrintWriter;IILjava/lang/String;)V
a=org.apache.commons.cli.HelpFormatter.getDescPadding()I b=org.apache.commons.cli.HelpFormatter.renderOptions(Ljava/lang/StringBuffer;ILorg/apache/commons/cli/Options;II)Ljava/lang/StringBuffer;
a=org.apache.commons.cli.HelpFormatter.getDescPadding()I b=org.apache.commons.cli.HelpFormatter.renderWrappedTextBlock(Ljava/lang/StringBuffer;IILjava/lang/String;)Ljava/lang/Appendable;
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.getArgName()Ljava/lang/String;
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.getDescPadding()I
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.printHelp(Ljava/io/PrintWriter;ILjava/lang/String;Ljava/lang/String;Lorg/apache/commons/cli/Options;IILjava/lang/String;Z)V
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.printOptions(Ljava/io/PrintWriter;ILorg/apache/commons/cli/Options;II)V
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.printUsage(Ljava/io/PrintWriter;ILjava/lang/String;)V
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.printWrapped(Ljava/io/PrintWriter;IILjava/lang/String;)V
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.renderOptions(Ljava/lang/StringBuffer;ILorg/apache/commons/cli/Options;II)Ljava/lang/StringBuffer;
a=org.apache.commons.cli.HelpFormatter.getLeftPadding()I b=org.apache.commons.cli.HelpFormatter.renderWrappedTextBlock(Ljava/lang/StringBuffer;IILjava/lang/String;)Ljava/lang/Appendable;
a=org.apache.commons.cli.HelpFormatter.getOptPrefix()Ljava/lang/String; b=org.apache.commons.cli.HelpFormatter.getArgName()Ljava/lang/String;
a=org.apache.commons.cli.HelpFormatter.getWidth()I b=org.apache.commons.cli.HelpFormatter.getDescPadding()I
a=org.apache.commons.cli.HelpFormatter.getWidth()I b=org.apache.commons.cli.HelpFormatter.getLeftPadding()I
a=org.apache.commons.cli.HelpFormatter.getWidth()I b=org.apache.commons.cli.HelpFormatter.printHelp(ILjava/lang/String;Ljava/lang/String;Lorg/apache/commons/cli/Options;Ljava/lang/String;Z)V
a=org.apache.commons.cli.HelpFormatter.getWidth()I b=org.apache.commons.cli.HelpFormatter.printHelp(Ljava/io/PrintWriter;ILjava/lang/String;Ljava/lang/String;Lorg/apache/commons/cli/Options;IILjava/lang/String;Z)V
a=org.apache.commons.cli.HelpFormatter.getWidth()I b=org.apache.commons.cli.HelpFormatter.printUsage(Ljava/io/PrintWriter;ILjava/lang/String;)V
a=org.apache.commons.cli.HelpFormatter.getWidth()I b=org.apache.commons.cli.HelpFormatter.printWrapped(Ljava/io/PrintWriter;IILjava/lang/String;)V
a=org.apache.commons.cli.HelpFormatter.getWidth()I b=org.apache.commons.cli.HelpFormatter.renderWrappedTextBlock(Ljava/lang/StringBuffer;IILjava/lang/String;)Ljava/lang/Appendable;
a=org.apache.commons.cli.HelpFormatter.printUsage(Ljava/io/PrintWriter;ILjava/lang/String;)V b=org.apache.commons.cli.HelpFormatter.printOptions(Ljava/io/PrintWriter;ILorg/apache/commons/cli/Options;II)V
a=org.apache.commons.cli.HelpFormatter.renderWrappedTextBlock(Ljava/lang/StringBuffer;IILjava/lang/String;)Ljava/lang/Appendable; b=org.apache.commons.cli.HelpFormatter.getArgName()Ljava/lang/String;
a=org.jboss.jandex.ClassInfo.setMethodArray([Lorg/jboss/jandex/MethodInternal;)V b=org.jboss.jandex.ClassInfo.method(Ljava/lang/String;[Lorg/jboss/jandex/Type;)Lorg/jboss/jandex/MethodInfo;
a=org.jboss.jandex.ClassInfo.setMethods(Ljava/util/List;Lorg/jboss/jandex/NameTable;)V b=org.jboss.jandex.ClassInfo.method(Ljava/lang/String;[Lorg/jboss/jandex/Type;)Lorg/jboss/jandex/MethodInfo;
a=org.antlr.works.ate.syntax.generic.ATESyntaxLexer.matchComplexComment()Lorg/antlr/works/ate/syntax/misc/ATEToken; b=org.antlr.works.ate.syntax.generic.ATESyntaxLexer.getTokens()Ljava/util/List;
a=org.antlr.works.ate.syntax.generic.ATESyntaxLexer.matchComplexComment()Lorg/antlr/works/ate/syntax/misc/ATEToken; b=org.antlr.works.ate.syntax.generic.ATESyntaxLexer.matchDoubleQuoteString()Lorg/antlr/works/ate/syntax/misc/ATEToken;
a=org.asteriskjava.config.ConfigFileReader.appendCategory(Lorg/asteriskjava/config/Category;)V b=org.asteriskjava.config.ConfigFileReader.processLine(Ljava/lang/String;ILjava/nio/CharBuffer;)Lorg/asteriskjava/config/ConfigElement;
