Project Name,1,2,3,4,5,Avg
FasterXML.jackson-dataformat-yaml,77,74,74,75,72,74
IvanTrendafilov.Confucius,104,105,106,106,106,105
Thomas-S-B.visualee,164,154,153,152,155,156
antlr.antlrworks,49,48,48,48,47,48
asterisk-java,690,680,682,676,683,682
bpsm.edn-java,133,132,129,131,132,131
commons-cli,801,800,801,803,804,802
commons-codec,4092,5921,5898,5890,5893,5539
commons-email,623,605,609,615,616,614
commons-fileupload,393,384,386,388,388,388
commons-validator,1403,1402,1410,1402,1402,1404
compile-testing,193,186,187,187,187,188
fasseg.exp4j,400,401,400,401,400,400
geosolutions-it.geoserver-manager,249,249,248,247,247,248
hoverruan.weiboclient4j,80,78,80,79,78,79
jmxtrans.embedded-jmxtrans,203,204,203,202,203,203
kamranzafar.jtar,14,13,13,13,13,13
kohsuke.libpam4j,11,10,10,10,10,10
ptgoetz.storm-jms,16,16,16,15,16,16
romix.java-concurrent-hash-trie-map,1584,1451,1535,622,631,1165
vidageek.crawler,57,55,55,54,54,55
wildfly.jandex,33,32,31,31,31,32
