method-a,method-b,verdict
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.FileItem.delete()V,true-spec
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.FileItem.getString()Ljava/lang/String;,spurious-spec
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.get()[B,spurious-spec
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.getCharSet()Ljava/lang/String;,spurious-spec
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.getContentType()Ljava/lang/String;,spurious-spec
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.FileItem.getString()Ljava/lang/String;,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.FileItem.getString()Ljava/lang/String;,org.apache.commons.fileupload2.disk.DiskFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.FileItem.isInMemory()Z,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.ParameterParser.parseToken([C)Ljava/lang/String;,org.apache.commons.fileupload2.ParameterParser.getToken(Z)Ljava/lang/String;,no-break-pass (direct)
org.apache.commons.fileupload2.ParameterParser.setLowerCaseNames(Z)V,org.apache.commons.fileupload2.ParameterParser.getToken(Z)Ljava/lang/String;,spurious-spec
org.apache.commons.fileupload2.ParameterParser.setLowerCaseNames(Z)V,org.apache.commons.fileupload2.ParameterParser.parseToken([C)Ljava/lang/String;,spurious-spec
org.apache.commons.fileupload2.disk.DiskFileItem.getCharSet()Ljava/lang/String;,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.disk.DiskFileItem.getCharSet()Ljava/lang/String;,org.apache.commons.fileupload2.FileItem.delete()V,spurious-spec
org.apache.commons.fileupload2.disk.DiskFileItem.getCharSet()Ljava/lang/String;,org.apache.commons.fileupload2.disk.DiskFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.disk.DiskFileItem.getContentType()Ljava/lang/String;,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.disk.DiskFileItem.getContentType()Ljava/lang/String;,org.apache.commons.fileupload2.FileItem.delete()V,spurious-spec
org.apache.commons.fileupload2.disk.DiskFileItem.getContentType()Ljava/lang/String;,org.apache.commons.fileupload2.disk.DiskFileItem.getStoreLocation()Ljava/io/File;,spurious-spec
org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,org.apache.commons.fileupload2.FileItem.delete()V,true-spec
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getBoundary(Ljava/lang/String;)[B,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getFieldName(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getFieldName(Lorg/apache/commons/fileupload2/FileItemHeaders;)Ljava/lang/String;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getFileItemFactory()Lorg/apache/commons/fileupload2/FileItemFactory;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getFileName(Ljava/lang/String;)Ljava/lang/String;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getFileName(Lorg/apache/commons/fileupload2/FileItemHeaders;)Ljava/lang/String;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getItemIterator(Lorg/apache/commons/fileupload2/RequestContext;)Lorg/apache/commons/fileupload2/FileItemIterator;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.getParsedHeaders(Ljava/lang/String;)Lorg/apache/commons/fileupload2/FileItemHeaders;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.newFileItemHeaders()Lorg/apache/commons/fileupload2/util/FileItemHeadersImpl;,no-break-pass (indirect)
org.apache.commons.fileupload2.DiskFileUpload.parseRequest(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;,org.apache.commons.fileupload2.FileUploadBase.parseRequest(Lorg/apache/commons/fileupload2/RequestContext;)Ljava/util/List;,no-break-pass (direct)
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.getSize()J,no-break-pass (direct)
org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.isInMemory()Z,no-break-pass (direct)
org.apache.commons.fileupload2.FileItem.getFieldName()Ljava/lang/String;,org.apache.commons.fileupload2.FileItem.get()[B,spurious-spec
org.apache.commons.fileupload2.FileItem.getFieldName()Ljava/lang/String;,org.apache.commons.fileupload2.disk.DiskFileItem.isInMemory()Z,spurious-spec
org.apache.commons.fileupload2.FileItem.getOutputStream()Ljava/io/OutputStream;,org.apache.commons.fileupload2.disk.DiskFileItem.getSize()J,true-spec
org.apache.commons.fileupload2.FileItem.getSize()J,org.apache.commons.fileupload2.disk.DiskFileItem.getSize()J,no-break-pass (direct)
org.apache.commons.fileupload2.FileItem.isInMemory()Z,org.apache.commons.fileupload2.disk.DiskFileItem.getSize()J,spurious-spec
org.apache.commons.fileupload2.FileItemFactory.createItem(Ljava/lang/String;Ljava/lang/String;ZLjava/lang/String;)Lorg/apache/commons/fileupload2/FileItem;,org.apache.commons.fileupload2.disk.DiskFileItemFactory.getFileCleaningTracker()Lorg/apache/commons/io/FileCleaningTracker;,no-break-pass (direct)
org.apache.commons.fileupload2.FileItemStream.getFieldName()Ljava/lang/String;,org.apache.commons.fileupload2.FileItemStream.getName()Ljava/lang/String;,spurious-spec
