method-a,method-b,verdict
org.apache.commons.validator.Arg.setKey(Ljava/lang/String;)V,org.apache.commons.validator.Arg.getName()Ljava/lang/String;,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getDepends()Ljava/lang/String;,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getPage()I,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getProperty()Ljava/lang/String;,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.getVarMap()Ljava/util/Map;,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.process(Ljava/util/Map;Ljava/util/Map;)V,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.runDependentValidators(Lorg/apache/commons/validator/ValidatorAction;Lorg/apache/commons/validator/ValidatorResults;Ljava/util/Map;Ljava/util/Map;I)Z,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.validate(Ljava/util/Map;Ljava/util/Map;)Lorg/apache/commons/validator/ValidatorResults;,spurious-spec
org.apache.commons.validator.Field.ensureArgsCapacity(Lorg/apache/commons/validator/Arg;)V,org.apache.commons.validator.Field.validateForRule(Lorg/apache/commons/validator/ValidatorAction;Lorg/apache/commons/validator/ValidatorResults;Ljava/util/Map;Ljava/util/Map;I)Z,spurious-spec
org.apache.commons.validator.Field.getArg(I)Lorg/apache/commons/validator/Arg;,org.apache.commons.validator.Field.getArg(Ljava/lang/String;I)Lorg/apache/commons/validator/Arg;,no-break-pass (direct)
org.apache.commons.validator.Field.getKey()Ljava/lang/String;,org.apache.commons.validator.Field.getProperty()Ljava/lang/String;,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.getDepends()Ljava/lang/String;,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.getPage()I,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.getProperty()Ljava/lang/String;,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.processArg(Ljava/lang/String;Ljava/lang/String;)V,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.processMessageComponents(Ljava/lang/String;Ljava/lang/String;)V,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.runDependentValidators(Lorg/apache/commons/validator/ValidatorAction;Lorg/apache/commons/validator/ValidatorResults;Ljava/util/Map;Ljava/util/Map;I)Z,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.validate(Ljava/util/Map;Ljava/util/Map;)Lorg/apache/commons/validator/ValidatorResults;,spurious-spec
org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,org.apache.commons.validator.Field.validateForRule(Lorg/apache/commons/validator/ValidatorAction;Lorg/apache/commons/validator/ValidatorResults;Ljava/util/Map;Ljava/util/Map;I)Z,spurious-spec
org.apache.commons.validator.Field.process(Ljava/util/Map;Ljava/util/Map;)V,org.apache.commons.validator.Field.getVar(Ljava/lang/String;)Lorg/apache/commons/validator/Var;,no-break-pass (direct)
org.apache.commons.validator.Field.process(Ljava/util/Map;Ljava/util/Map;)V,org.apache.commons.validator.Field.getVarMap()Ljava/util/Map;,no-break-pass (direct)
org.apache.commons.validator.Field.process(Ljava/util/Map;Ljava/util/Map;)V,org.apache.commons.validator.Field.processArg(Ljava/lang/String;Ljava/lang/String;)V,no-break-pass (indirect)
org.apache.commons.validator.Field.process(Ljava/util/Map;Ljava/util/Map;)V,org.apache.commons.validator.Field.processMessageComponents(Ljava/lang/String;Ljava/lang/String;)V,no-break-pass (indirect)
org.apache.commons.validator.Field.processMessageComponents(Ljava/lang/String;Ljava/lang/String;)V,org.apache.commons.validator.Field.processArg(Ljava/lang/String;Ljava/lang/String;)V,no-break-pass (direct)
org.apache.commons.validator.Field.runDependentValidators(Lorg/apache/commons/validator/ValidatorAction;Lorg/apache/commons/validator/ValidatorResults;Ljava/util/Map;Ljava/util/Map;I)Z,org.apache.commons.validator.Field.getArg(I)Lorg/apache/commons/validator/Arg;,spurious-spec
