project,spec-id,states,transitions,letters,true-spec,spurious-spec,no-break-pass,no-mined-spec,total-edge-pairs
kamranzafar.jtar,kamranzafar.jtar-bddminer00101,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00102,1,2,2,1,0,0,3,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00103,1,2,2,0,1,0,3,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00104,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00105,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00106,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00107,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00108,1,2,2,0,1,0,3,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00109,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00110,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00111,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00112,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00113,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00114,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00115,1,2,2,1,0,0,3,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00116,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00117,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00118,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00119,1,2,2,1,0,0,3,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00120,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00121,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00122,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00123,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00124,1,2,2,0,0,0,4,4
kamranzafar.jtar,kamranzafar.jtar-bddminer00125,1,2,2,0,0,0,4,4
