project,spec-id,states,transitions,letters,true-spec,spurious-spec,no-break-pass,no-mined-spec,total-edge-pairs
commons-codec,org.apache.commons.codec.digest.HmacAlgorithms,3,3,1,0,0,0,4,4
commons-exec,org.apache.commons.exec.CommandLine$Argument,3,4,2,0,1,0,8,9
commons-exec,org.apache.commons.exec.TimeoutObserver,3,3,1,0,0,0,4,4
commons-fileupload,org.apache.commons.fileupload2.UploadContext,3,3,1,0,0,0,4,4
commons-fileupload,org.apache.commons.fileupload2.disk.DiskFileItemFactory,3,3,1,0,0,0,4,4
commons-validator,org.apache.commons.validator.CreditCardValidator$CreditCardType,3,3,1,0,0,0,4,4
commons-validator,org.apache.commons.validator.ValidatorResult$ResultStatus,3,4,2,0,0,0,9,9
commons-validator,org.apache.commons.validator.routines.DomainValidator$ArrayType,3,3,1,0,0,0,4,4
joda-convert,org.joda.convert.EnumStringConverterFactory$EnumStringConverter,3,4,2,0,1,0,8,9
joda-convert,org.joda.convert.FromStringFactory,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.binary.Base16OutputStream,4,5,2,2,0,0,6,8
commons-codec,org.apache.commons.codec.language.Caverphone2,4,3,1,0,0,0,2,2
commons-exec,org.apache.commons.exec.ExecuteResultHandler,4,5,2,0,0,0,10,10
commons-exec,org.apache.commons.exec.ProcessDestroyer,4,4,2,0,1,0,3,4
commons-fileupload,org.apache.commons.fileupload2.DefaultFileItem,4,3,1,0,0,0,2,2
commons-fileupload,org.apache.commons.fileupload2.DiskFileUpload,4,4,2,0,1,0,3,4
commons-fileupload,org.apache.commons.fileupload2.FileUpload,4,6,2,0,0,0,12,12
commons-fileupload,org.apache.commons.fileupload2.MockHttpServletRequest,4,3,1,0,0,0,2,2
commons-fileupload,org.apache.commons.fileupload2.util.LimitedInputStream,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.Validity,4,3,1,0,0,0,2,2
joda-convert,org.joda.convert.ValidityStringConverter,4,4,2,0,0,0,5,5
joda-convert,org.joda.convert.factory.BooleanArrayStringConverterFactory$BooleanArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.BooleanObjectArrayStringConverterFactory$BooleanArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.ByteObjectArrayStringConverterFactory$ByteArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.CharObjectArrayStringConverterFactory$CharecterArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.NumericArrayStringConverterFactory$DoubleArrayStringConverter$1,4,5,2,0,0,0,10,10
joda-convert,org.joda.convert.factory.NumericArrayStringConverterFactory$FloatArrayStringConverter$1,4,5,2,0,0,0,10,10
joda-convert,org.joda.convert.factory.NumericArrayStringConverterFactory$IntArrayStringConverter$1,4,5,2,0,0,0,10,10
joda-convert,org.joda.convert.factory.NumericArrayStringConverterFactory$LongArrayStringConverter$1,4,5,2,0,0,0,10,10
joda-convert,org.joda.convert.factory.NumericArrayStringConverterFactory$ShortArrayStringConverter$1,4,5,2,0,0,0,10,10
joda-convert,org.joda.convert.factory.NumericObjectArrayStringConverterFactory$DoubleArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.NumericObjectArrayStringConverterFactory$FloatArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.NumericObjectArrayStringConverterFactory$IntArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.NumericObjectArrayStringConverterFactory$LongArrayStringConverter$1,4,5,2,0,0,0,8,8
joda-convert,org.joda.convert.factory.NumericObjectArrayStringConverterFactory$ShortArrayStringConverter$1,4,5,2,0,0,0,8,8
commons-codec,org.apache.commons.codec.binary.BinaryCodec,5,50,6,0,0,0,1338,1338
commons-codec,org.apache.commons.codec.language.Caverphone1,5,8,4,0,0,0,17,17
commons-exec,org.apache.commons.exec.ShutdownHookProcessDestroyer$ProcessDestroyerImpl,5,5,3,2,0,0,3,5
commons-exec,org.apache.commons.exec.environment.DefaultProcessingEnvironment,5,6,3,0,0,0,9,9
commons-fileupload,org.apache.commons.fileupload2.DefaultFileItemFactory,5,6,2,0,2,0,6,8
