project,spec-id,states,transitions,letters,true-spec,spurious-spec,no-break-pass,no-mined-spec,total-edge-pairs
commons-codec,org.apache.commons.codec.StringEncoder,2,3,2,0,0,0,6,6
commons-validator,org.apache.commons.validator.ValueBean,2,3,2,0,0,0,6,6
commons-validator,org.apache.commons.validator.routines.ISBNValidator,2,8,7,0,3,0,53,56
commons-validator,org.apache.commons.validator.routines.RegexValidator,2,4,3,0,3,0,9,12
joda-convert,org.joda.convert.AnnotationStringConverterFactory,2,7,6,2,7,8,25,42
joda-convert,org.joda.convert.JDKStringConverter,2,4,3,0,3,0,9,12
joda-convert,org.joda.convert.StringConverter,2,3,2,0,2,0,4,6
commons-codec,org.apache.commons.codec.Encoder,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.binary.BaseNCodecInputStream,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.digest.HmacAlgorithms,3,3,1,0,0,0,4,4
commons-fileupload,org.apache.commons.fileupload2.disk.DiskFileItem,3,19,9,0,33,3,125,161
commons-validator,org.apache.commons.validator.routines.checkdigit.CheckDigit,3,5,2,0,2,0,10,12
commons-validator,org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit,3,5,3,0,1,1,6,8
commons-validator,org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,3,3,1,0,0,0,4,4
kamranzafar.jtar,org.kamranzafar.jtar.TarEntry,3,15,7,6,9,2,82,99
kamranzafar.jtar,org.kamranzafar.jtar.TarOutputStream,3,15,7,0,0,0,99,99
commons-codec,org.apache.commons.codec.binary.Base16InputStreamTest,4,12,4,0,0,0,49,49
commons-codec,org.apache.commons.codec.binary.Base32InputStreamTest,4,8,3,0,0,0,20,20
commons-codec,org.apache.commons.codec.binary.Base32OutputStreamTest,4,10,3,0,0,0,26,26
commons-codec,org.apache.commons.codec.binary.Base64,4,10,6,0,1,2,29,32
commons-fileupload,org.apache.commons.fileupload2.FileItemStream,4,10,6,0,9,0,19,28
commons-validator,org.apache.commons.validator.routines.EmailValidator,4,8,3,0,2,2,12,16
commons-validator,org.apache.commons.validator.util.Flags,4,12,4,0,0,0,35,35
commons-codec,org.apache.commons.codec.binary.Base16OutputStreamTest,5,14,4,0,0,0,43,43
commons-codec,org.apache.commons.codec.binary.BaseNCodecOutputStream,5,5,3,1,0,2,1,4
commons-codec,org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32x86,5,15,4,0,0,0,43,43
commons-fileupload,org.apache.commons.fileupload2.FileItemHeaders,5,5,1,0,0,0,6,6
commons-fileupload,org.apache.commons.fileupload2.MultipartStream$ProgressNotifier,5,6,3,0,0,0,7,7
commons-validator,org.apache.commons.validator.FormSetFactory,5,5,2,0,0,1,3,4
joda-convert,org.joda.convert.StringConverterFactory,5,5,1,0,0,0,5,5
commons-exec,org.apache.commons.exec.CommandLine$Argument,6,6,2,0,1,0,5,6
commons-exec,org.apache.commons.exec.DefaultExecutor,6,77,17,34,92,160,850,1136
commons-validator,org.apache.commons.validator.ValidatorResult,6,17,5,0,16,0,36,52
commons-validator,org.apache.commons.validator.routines.CreditCardValidator,6,13,3,0,0,0,33,33
commons-validator,org.apache.commons.validator.routines.InetAddressValidator,6,14,3,0,4,7,20,31
commons-validator,org.apache.commons.validator.routines.UrlValidator,6,18,9,0,5,9,38,52
commons-validator,org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,6,6,1,0,0,0,6,6
joda-convert,org.joda.convert.TestJDKStringConverters,6,6,2,0,0,0,6,6
commons-exec,org.apache.commons.exec.DefaultExecuteResultHandler,7,25,7,1,7,0,96,112
commons-exec,org.apache.commons.exec.ExecuteWatchdog,7,53,11,19,125,16,289,449
commons-validator,org.apache.commons.validator.Var,7,20,6,0,10,0,58,68
commons-validator,org.apache.commons.validator.routines.DomainValidator,7,16,8,0,0,7,39,46
commons-codec,org.apache.commons.codec.StringEncoderAbstractTest,8,18,3,5,0,0,37,42
commons-validator,org.apache.commons.validator.ValidatorAction,8,69,22,42,180,60,330,612
commons-codec,org.apache.commons.codec.binary.Base16,9,49,12,0,9,13,252,274
commons-codec,org.apache.commons.codec.digest.HmacUtils,9,31,6,0,0,9,133,142
commons-exec,org.apache.commons.exec.LogOutputStream,9,9,4,0,0,0,9,9
commons-validator,org.apache.commons.validator.routines.CodeValidator,9,32,6,0,9,6,91,106
commons-validator,org.apache.commons.validator.routines.AbstractFormatValidator,10,42,6,0,8,0,174,182
commons-exec,org.apache.commons.exec.launcher.CommandLauncher,13,19,2,0,7,0,26,33
