project,spec-id,states,transitions,letters,true-spec,spurious-spec,no-break-pass,no-mined-spec,total-edge-pairs
commons-codec,org.apache.commons.codec.binary.Base16OutputStream,2,8,7,1,0,0,55,56
commons-codec,org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32x86,2,5,4,0,0,0,20,20
commons-codec,org.apache.commons.codec.digest.PureJavaCrc32C,2,5,4,0,1,0,19,20
commons-validator,org.apache.commons.validator.Arg,2,12,11,0,3,0,129,132
commons-validator,org.apache.commons.validator.Msg,2,10,9,0,0,0,90,90
commons-codec,org.apache.commons.codec.DecoderException,3,5,2,0,0,0,12,12
commons-codec,org.apache.commons.codec.EncoderException,3,5,2,0,0,0,12,12
commons-codec,org.apache.commons.codec.StringEncoder,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.digest.HmacAlgorithms,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32,3,7,3,0,0,0,24,24
commons-codec,org.apache.commons.codec.digest.PureJavaCrc32,3,11,5,0,0,0,59,59
commons-codec,org.apache.commons.codec.language.AbstractCaverphone,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.language.Caverphone1,3,7,3,0,0,0,24,24
commons-codec,org.apache.commons.codec.language.Caverphone2,3,7,3,0,0,0,24,24
commons-codec,org.apache.commons.codec.language.Caverphone,3,6,4,0,0,0,21,21
commons-codec,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,3,4,2,0,0,0,6,6
commons-codec,org.apache.commons.codec.language.DaitchMokotoffSoundex$Branch,3,5,2,2,0,0,10,12
commons-codec,org.apache.commons.codec.language.Nysiis,3,6,4,0,0,3,18,21
commons-codec,org.apache.commons.codec.language.RefinedSoundex,3,7,5,0,0,0,26,26
commons-codec,org.apache.commons.codec.language.bm.Lang,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.language.bm.Rule$Phoneme$1,3,3,1,0,0,0,3,3
commons-codec,org.apache.commons.codec.language.bm.Rule$PhonemeExpr,3,3,1,0,0,0,4,4
commons-codec,org.apache.commons.codec.language.bm.Rule$PhonemeList,3,3,1,0,0,0,4,4
commons-exec,org.apache.commons.exec.CommandLine$Argument,3,3,2,0,1,0,2,3
commons-exec,org.apache.commons.exec.DefaultExecutor,3,27,19,7,22,30,389,448
commons-exec,org.apache.commons.exec.ExecuteException,3,7,3,0,0,0,24,24
commons-exec,org.apache.commons.exec.ExecuteResultHandler,3,3,1,0,0,0,4,4
commons-exec,org.apache.commons.exec.InputStreamPumper,3,5,2,0,0,0,12,12
commons-exec,org.apache.commons.exec.ShutdownHookProcessDestroyer,3,14,8,2,1,0,106,109
commons-fileupload,org.apache.commons.fileupload2.DefaultFileItemFactory,3,12,9,0,4,0,90,94
commons-fileupload,org.apache.commons.fileupload2.FileItemStream$ItemSkippedException,3,5,2,0,0,0,12,12
commons-fileupload,org.apache.commons.fileupload2.FileUploadException,3,5,2,0,0,0,12,12
commons-fileupload,org.apache.commons.fileupload2.InvalidFileNameException,3,7,3,0,0,0,24,24
commons-fileupload,org.apache.commons.fileupload2.MultipartStream$MalformedStreamException,3,5,2,0,0,0,12,12
commons-fileupload,org.apache.commons.fileupload2.MultipartStream$ProgressNotifier,3,5,3,0,1,0,15,16
commons-fileupload,org.apache.commons.fileupload2.disk.DiskFileItem,3,33,22,0,27,3,592,622
commons-fileupload,org.apache.commons.fileupload2.util.FileItemHeadersImpl,3,9,4,0,0,0,40,40
commons-validator,org.apache.commons.validator.CreditCardValidator,3,7,3,0,0,0,24,24
commons-validator,org.apache.commons.validator.DateValidator,3,5,2,0,0,0,12,12
commons-validator,org.apache.commons.validator.EmailValidator,3,8,6,0,0,0,36,36
commons-validator,org.apache.commons.validator.ISBNValidator,3,3,1,0,0,0,4,4
commons-validator,org.apache.commons.validator.ValidatorException,3,5,2,0,0,0,12,12
commons-validator,org.apache.commons.validator.ValidatorResult$ResultStatus,3,9,4,0,0,0,40,40
commons-validator,org.apache.commons.validator.Var,3,23,11,0,8,0,256,264
commons-validator,org.apache.commons.validator.routines.ISBNValidator,3,3,1,0,0,0,4,4
commons-validator,org.apache.commons.validator.routines.ISINValidator,3,5,2,0,0,0,12,12
commons-validator,org.apache.commons.validator.routines.InetAddressValidator,3,7,3,0,2,6,14,22
commons-validator,org.apache.commons.validator.routines.RegexValidator,3,7,3,0,6,0,18,24
commons-validator,org.apache.commons.validator.routines.checkdigit.CheckDigitException,3,5,2,0,0,0,12,12
joda-convert,org.joda.convert.JDKStringConverter,3,7,3,0,2,0,22,24
commons-codec,org.apache.commons.codec.binary.BinaryCodec,4,16,5,0,0,0,72,72
commons-codec,org.apache.commons.codec.language.bm.PhoneticEngine$PhonemeBuilder,4,10,4,0,0,0,29,29
commons-exec,org.apache.commons.exec.launcher.CommandLauncher,4,8,3,0,2,0,14,16
commons-fileupload,org.apache.commons.fileupload2.FileUpload,4,30,14,0,0,0,308,308
commons-fileupload,org.apache.commons.fileupload2.MultipartStream$ItemInputStream,4,38,14,0,2,0,452,454
commons-fileupload,org.apache.commons.fileupload2.disk.DiskFileItemFactory,4,20,9,0,0,0,172,172
commons-fileupload,org.apache.commons.fileupload2.servlet.ServletFileUpload,4,34,16,4,12,2,398,416
commons-validator,org.apache.commons.validator.FormSetFactory,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.ISSNValidator,4,12,5,0,0,0,40,40
commons-validator,org.apache.commons.validator.routines.checkdigit.ABANumberCheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.EAN13CheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.SedolCheckDigit,4,8,3,0,0,0,18,18
commons-validator,org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,4,9,3,0,0,0,22,22
joda-convert,org.joda.convert.TypedStringConverter,4,4,1,0,0,0,5,5
commons-codec,org.apache.commons.codec.binary.Hex,5,27,8,0,0,22,132,154
commons-codec,org.apache.commons.codec.digest.HmacUtils,5,20,7,0,0,2,74,76
commons-codec,org.apache.commons.codec.language.DaitchMokotoffSoundex,5,8,5,0,0,0,10,10
commons-codec,org.apache.commons.codec.language.bm.Languages,5,5,1,0,0,0,5,5
commons-codec,org.apache.commons.codec.net.RFC1522Codec,5,10,4,0,6,0,16,22
commons-exec,org.apache.commons.exec.TimeoutObserver,5,5,1,0,0,0,5,5
commons-exec,org.apache.commons.exec.environment.OpenVmsProcessingEnvironment,5,5,1,0,0,0,5,5
commons-exec,org.apache.commons.exec.launcher.Java13CommandLauncher,5,8,3,0,0,0,12,12
commons-exec,org.apache.commons.exec.launcher.VmsCommandLauncher,5,10,4,0,0,0,14,14
commons-exec,org.apache.commons.exec.launcher.WinNTCommandLauncher,5,9,3,0,0,0,13,13
commons-fileupload,org.apache.commons.fileupload2.DiskFileUpload,5,67,19,0,4,0,1035,1039
commons-validator,org.apache.commons.validator.ValidatorResult,5,32,8,0,19,0,224,243
commons-validator,org.apache.commons.validator.routines.CodeValidator,5,19,6,0,18,2,94,114
commons-validator,org.apache.commons.validator.routines.EmailValidator,5,5,1,0,0,0,5,5
commons-validator,org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,5,6,2,0,0,0,8,8
commons-validator,org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit,5,6,2,0,0,0,8,8
commons-validator,org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit,5,12,3,0,0,0,30,30
kamranzafar.jtar,org.kamranzafar.jtar.TarInputStream,5,20,15,0,1,0,139,140
commons-codec,org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer,6,6,1,0,0,0,6,6
commons-codec,org.apache.commons.codec.language.bm.BeiderMorseEncoder,6,48,9,0,36,0,378,414
commons-codec,org.apache.commons.codec.language.bm.PhoneticEngine,6,24,8,0,12,3,83,98
commons-codec,org.apache.commons.codec.language.bm.Rule$RPattern,6,6,1,0,0,0,6,6
commons-exec,org.apache.commons.exec.ShutdownHookProcessDestroyer$ProcessDestroyerImpl,6,6,3,4,0,0,3,7
commons-exec,org.apache.commons.exec.environment.DefaultProcessingEnvironment,6,8,3,0,0,0,9,9
commons-exec,org.apache.commons.exec.launcher.OS2CommandLauncher,6,10,3,0,0,0,17,17
commons-validator,org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit,6,11,3,0,2,2,12,16
commons-codec,org.apache.commons.codec.binary.Base64InputStream,7,59,10,0,0,0,517,517
commons-codec,org.apache.commons.codec.binary.Base64OutputStream,7,39,7,0,0,0,235,235
commons-codec,org.apache.commons.codec.language.ColognePhonetic,7,13,5,0,0,0,23,23
commons-codec,org.apache.commons.codec.language.Metaphone,7,37,9,4,0,0,181,185
commons-codec,org.apache.commons.codec.language.Soundex,7,37,8,0,0,4,204,208
commons-validator,org.apache.commons.validator.ValidatorResults,7,47,8,0,0,0,299,299
commons-validator,org.apache.commons.validator.routines.IBANValidator,7,36,7,2,4,5,142,153
commons-codec,org.apache.commons.codec.binary.Base32OutputStream,8,45,7,6,12,0,216,234
commons-validator,org.apache.commons.validator.routines.UrlValidator,8,11,3,0,0,3,12,15
kamranzafar.jtar,org.kamranzafar.jtar.TarOutputStream,8,37,8,0,0,0,121,121
commons-codec,org.apache.commons.codec.binary.Base32InputStream,9,85,10,15,28,0,774,817
commons-codec,org.apache.commons.codec.language.DaitchMokotoffSoundex$Rule,9,14,4,0,0,0,20,20
commons-codec,org.apache.commons.codec.language.MatchRatingApproachEncoder,9,27,11,0,6,8,78,92
commons-validator,org.apache.commons.validator.routines.CreditCardValidator,9,9,2,0,0,0,8,8
commons-codec,org.apache.commons.codec.digest.XXHash32,10,45,6,0,0,0,169,169
commons-codec,org.apache.commons.codec.language.bm.Languages$LanguageSet,10,41,6,0,3,0,187,190
commons-codec,org.apache.commons.codec.language.bm.Rule,10,14,3,0,0,0,17,17
commons-exec,org.apache.commons.exec.Watchdog,10,61,6,17,26,8,301,352
commons-validator,org.apache.commons.validator.routines.AbstractNumberValidator,10,46,8,0,0,0,180,180
commons-codec,org.apache.commons.codec.binary.BaseNCodecOutputStream,11,38,8,2,0,3,100,105
commons-codec,org.apache.commons.codec.net.QCodec,11,78,13,0,22,24,562,608
commons-validator,org.apache.commons.validator.routines.DomainValidator$ArrayType,11,11,1,0,0,0,12,12
commons-codec,org.apache.commons.codec.language.ColognePhonetic$CologneInputBuffer,12,19,5,0,0,0,27,27
commons-codec,org.apache.commons.codec.net.BCodec,12,77,12,0,17,26,429,472
commons-validator,org.apache.commons.validator.routines.AbstractFormatValidator,12,47,6,0,7,0,160,167
