project,spec-id,states,transitions,letters,true-spec,spurious-spec,no-break-pass,no-mined-spec,total-edge-pairs
kamranzafar.jtar,kamranzafar.jtar-javert00005,2,2,2,0,0,0,2,2
kamranzafar.jtar,kamranzafar.jtar-javert00003,2,2,2,0,0,0,2,2
kamranzafar.jtar,kamranzafar.jtar-javert00001,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00071,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00076,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00037,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00067,2,2,2,1,0,0,1,2
commons-codec,commons-codec-javert00043,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00145,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00140,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00074,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00134,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00104,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00097,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00081,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00151,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00047,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00132,2,4,4,0,0,0,10,10
commons-codec,commons-codec-javert00108,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00106,2,2,2,0,1,0,1,2
commons-codec,commons-codec-javert00095,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00050,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00077,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00112,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00129,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00056,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00094,2,3,3,0,0,0,5,5
commons-codec,commons-codec-javert00021,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00044,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00082,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00116,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00031,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00064,2,2,2,0,0,1,1,2
commons-codec,commons-codec-javert00053,2,2,2,0,0,0,2,2
commons-codec,commons-codec-javert00150,2,10,10,2,3,2,75,82
