id,dsi-time
00001,309.287
00002,235.158
00036,864.287
00039,55.498
00040,58.644
00041,151.238
00042,123.208
00043,14.267
00044,38.995
00045,13.496
00055,41.011
00056,46.959
00057,73.264
00058,15.201
00069,11.655
00076,70.683
00079,32.598
00095,26.944
00096,22.461
00097,65.894
00098,7.043
00099,5.789
00104,67.264
00114,35.641
00132,70.119
00133,20.697
00134,47.835
00135,19.149
00136,17.772
00147,30.215
00181,143.279
00183,35.453
00184,36.325
00185,35.253
00186,33.694
00187,34.416
00188,33.373
00189,39.071
00190,37.221
00191,28.156
00192,23.429
00193,21.282
00194,21.029
00196,16.298
00197,15.446
00198,13.750
00199,11.107
00200,11.771
00201,11.709
00203,8.802
00204,7.114
00205,6.282
00206,6.417
00210,6.510
00212,5.340
00215,56.799
00281,39.639
00297,47.724
00298,8.623
00302,5.865
00305,5.392
00306,5.027
00308,4.611
00311,4.609
00312,4.503
00313,4.273
00316,4.136
00317,3.952
00320,3.894
00321,7.841
00325,33.005
00333,14.375
00334,12.573
00336,12.263
00339,10.594
00340,126.348
00342,110.517
00345,6.184
00346,77.586
00372,75.671
00373,41.450
00377,26.093
00380,22.176
00381,22.352
00383,19.440
00386,13.389
00387,12.163
00388,11.801
00391,11.448
00392,11.197
00395,9.665
00396,19.909
00412,32.246
00413,31.344
00414,26.402
00418,18.313
00419,3.798
00420,3.836
00421,9.151
00422,9.008
00423,12.042
00440,32.707
00441,32.613
00442,31.312
00330,124.298
00331,104.534
00038,650.732
00282,999.890
00283,1010.156
00046,11.233
00047,10.490
00049,10.421
00050,9.932
00051,34.294
00068,143.066
00072,68.131
00073,32.157
00074,66.158
00075,136.237
00078,235.053
00080,276.811
00081,250.460
00083,245.067
00084,98.945
00085,65.958
00086,243.999
00087,69.816
00088,174.778
00090,163.759
00091,32.362
00113,120.698
00115,137.995
00117,251.326
00119,94.720
00120,276.131
00121,215.020
00137,31.587
00138,32.533
00140,29.194
00141,22.462
00154,152.755
00157,30.051
00159,238.789
00160,221.411
00161,31.552
00163,1267.183
00164,831.079
00165,66.350
00166,73.056
00167,70.211
00169,39.746
00170,13.991
00172,164.333
00216,33.171
00224,139.773
00225,171.875
00227,174.545
00236,36.723
00251,99.000
00252,103.673
00253,101.395
00254,95.778
00255,108.047
00256,103.936
00257,87.931
00261,32.317
00274,108.252
00276,37.602
00277,413.366
00280,36.835
00285,101.812
00286,31.712
00287,68.127
00288,71.182
00289,32.686
00290,467.340
00296,105.731
00323,36.615
00349,33.714
00357,30.429
00358,3.933
00361,3.994
00371,94.047
00424,22.422
00010,1488.154
00034,67.860
00054,115.004
00094,108.928
00112,236.548
00116,122.457
00158,25.982
00162,27.026
00171,493.633
00219,138.198
00237,112.128
00238,103.268
00240,96.115
00241,97.092
00248,1107.041
00258,70.076
00260,60.233
00278,110.897
00350,78.849
00351,51.597
00352,26.443
00353,76.858
00354,45.674
00355,63.653
00356,64.021
00360,15.789
00362,19.331
00364,31.695
00033,35.505
00035,64.936
00052,37.588
00064,43.416
00065,43.146
00066,48.707
00071,33.454
00082,32.357
00092,31.174
00105,78.927
00106,77.147
00107,72.645
00108,34.554
00109,35.473
00110,33.690
00118,22.359
00156,36.601
00226,136.750
00262,30.367
00266,35.663
00267,33.049
00272,136.434
00273,38.470
00275,33.494
00279,31.684
00318,8.292
00319,8.074
00322,3.990
00347,52.909
00393,20.667
00394,20.559
00397,9.315
00415,45.891
00416,19.178
00417,44.703
00425,10.992
00443,53.673
00444,19.402
00445,31.125
00324,76.254
00326,97.190
00344,48.733
00348,164.871
00359,20.481
00363,32.420
00402,95.386
00403,87.213
00404,60.525
00408,62.064
00409,54.424
00410,31.846
00430,137.318
00431,83.119
00432,84.436
00436,57.099
00437,51.703
00438,49.625
