id,dsi-time
00049,19.640
00053,66.246
00054,59.536
00057,31.942
00072,36.279
00078,37.466
00091,35.281
00101,40.309
00117,37.291
00120,792.212
00121,794.932
00123,788.567
00124,37.138
00229,22.241
00230,22.295
00268,24.032
00275,16.673
00285,23.681
00322,14.894
00350,232.342
00353,17.197
00055,23.981
00056,28.872
00060,23.794
00166,11.377
00167,25.024
00168,47.523
00169,11.772
00194,14.708
00195,14.845
00196,14.831
00198,90.559
00199,14.739
00200,14.905
00201,28.227
00202,81.106
00203,9.009
00210,7.712
00226,6.945
00233,21.691
00240,21.603
00241,14.729
00243,14.763
00245,87.016
00246,6.746
00247,21.504
00248,14.792
00249,21.551
00251,6.675
00254,14.723
00255,14.730
00256,14.804
00257,6.792
00301,10.040
00307,10.107
00328,41.239
00330,40.537
00371,6.669
00372,6.676
00373,6.714
00374,6.687
00378,80.035
00381,14.703
00382,14.749
00383,14.792
00384,80.019
00386,80.028
00387,140.795
00389,80.142
00311,283.231
00002,249.725
00003,224.546
00005,216.223
00079,252.562
00092,202.230
00190,709.140
00269,171.635
00323,231.881
00351,16.723
00369,14.850
00370,14.846
00004,26.685
00008,24.548
00026,614.146
00030,153.617
00034,51.993
00035,72.227
00036,166.814
00037,89.359
00048,20.007
00050,43.012
00061,883.029
00062,853.620
00063,39.011
00064,263.004
00108,828.300
00109,37.047
00110,241.980
00118,36.088
00126,78.090
00129,77.208
00131,78.828
00133,19.407
00134,40.389
00142,72.205
00154,55.143
00155,36.783
00156,36.343
00157,36.358
00158,36.794
00159,36.888
00160,35.804
00161,35.526
00162,17.702
00163,17.547
00176,749.117
00177,757.427
00180,689.201
00181,680.502
00184,717.944
00187,647.412
00211,10.975
00212,10.617
00213,10.408
00234,25.142
00235,10.304
00236,32.523
00238,22.170
00239,10.424
00242,10.285
00253,166.536
00286,24.044
00287,53.107
00290,51.163
00292,45.531
00295,7.844
00296,19.583
00297,22.525
00298,10.176
00299,22.119
00300,13.080
00302,19.404
00303,10.156
00304,17.686
00305,18.679
00306,11.146
00308,10.045
00310,27.563
00313,25.447
00315,24.245
00318,15.035
00321,24.531
00324,13.567
00325,17.467
00326,10.080
00327,32.543
00329,32.281
00331,19.214
00332,32.245
00333,39.202
00334,32.285
00336,39.090
00337,38.306
00338,16.146
00339,32.216
00340,10.073
00341,6.646
00342,6.976
00344,7.219
00345,6.725
00346,6.276
00349,5.951
00358,463.234
00361,441.331
00363,9.812
00364,10.147
00365,18.529
00366,45.164
00367,8.509
00368,8.178
00377,14.596
00006,135.448
00007,127.661
00009,118.675
00020,741.180
00021,812.314
00024,1290.854
00029,220.924
00031,151.969
00032,275.986
00033,204.633
00038,548.285
00039,1131.963
00040,1048.706
00041,532.123
00042,323.009
00043,1050.787
00130,78.290
00135,284.087
00136,299.570
00137,275.182
00138,302.222
00139,291.176
00140,294.805
00141,292.262
00143,224.468
00145,237.704
00146,237.388
00147,232.342
00150,209.466
00152,201.507
00153,159.936
00172,776.632
00173,894.932
00178,755.453
00185,721.444
00186,749.522
00244,212.395
00250,211.343
00291,48.324
00309,294.534
00312,235.544
00314,270.387
00316,270.709
00317,261.249
00319,202.011
00343,32.767
00347,30.243
00355,499.989
00356,531.529
00359,471.970
00360,489.184
00375,49.991
00376,49.504
00388,173.631
00391,183.409
00014,58.202
00015,26.138
00016,51.572
00017,21.338
00018,50.806
00019,20.277
00068,104.850
00127,75.528
00128,76.821
00132,76.393
00207,12.091
00260,10.106
00288,50.132
00289,50.814
00294,40.990
00320,52.626
00348,5.804
00119,246.987
00125,246.379
00179,757.121
