id,dsi-time
00029,19.460
00030,95.182
00031,37.852
00032,40.297
00033,38.237
00034,36.660
00036,92.932
00070,15.122
00075,12.067
00077,11.787
00236,31.074
00242,29.067
00258,8.721
00259,8.586
00261,8.239
00262,8.173
00263,7.837
00264,7.563
00001,43.039
00040,73.033
00044,52.019
00056,4.408
00085,3.652
00101,14.676
00106,15.074
00112,53.986
00113,89.823
00124,9.604
00125,7.638
00126,19.965
00128,7.858
00129,19.833
00130,8.153
00131,2.676
00132,34.521
00133,34.842
00134,47.962
00135,34.359
00136,32.969
00137,32.032
00138,30.860
00139,5.399
00159,27.130
00161,19.562
00162,25.384
00163,25.724
00166,25.476
00167,25.042
00168,18.666
00169,25.364
00170,24.802
00175,4.769
00176,4.583
00245,50.866
00246,103.580
00247,131.179
00248,102.644
00249,42.620
00251,33.276
00252,32.290
00265,3.739
00266,4.511
00278,4.146
00281,8.901
00286,13.860
00289,3.172
00104,78.896
00047,143.134
00041,35.802
00042,34.534
00043,32.148
00046,96.023
00057,113.800
00076,30.467
00078,77.604
00079,91.807
00081,26.801
00082,26.612
00083,25.086
00084,24.927
00086,73.159
00268,59.880
00269,80.402
00272,16.815
00273,62.655
00275,17.621
00276,16.613
00277,16.696
00059,97.367
00322,24.169
00326,22.672
00327,23.514
00002,25.708
00038,34.028
00039,55.576
00045,16.245
00049,36.516
00050,33.433
00051,90.026
00053,34.879
00054,32.615
00055,32.305
00061,8.779
00062,31.757
00063,38.004
00064,17.006
00065,15.871
00066,15.500
00067,15.521
00069,30.556
00080,40.323
00253,8.818
00254,8.257
00257,8.566
00267,7.961
00271,26.816
00279,69.269
00071,13.533
00255,36.021
00256,24.968
00004,29.438
00005,31.642
00006,31.831
00017,11.842
00018,11.687
00019,27.029
00020,26.906
00021,26.361
00022,24.897
00023,25.138
00024,11.757
00025,23.071
00026,23.074
00027,9.511
00087,92.181
00088,41.336
00089,19.475
00090,40.143
00091,20.153
00095,73.829
00096,138.055
00097,136.338
00098,69.797
00105,116.347
00107,16.195
00108,58.720
00109,14.037
00110,110.380
00111,69.090
00118,76.554
00119,76.728
00120,35.929
00121,72.944
00122,140.956
00123,71.819
00127,11.497
00147,22.530
00148,23.068
00187,62.496
00188,4.116
00189,4.104
00191,3.937
00192,3.965
00194,3.897
00195,3.977
00196,3.960
00198,48.215
00200,13.895
00208,12.198
00209,11.403
00211,23.242
00238,18.207
00241,73.848
00243,113.804
00244,110.355
00270,16.705
00280,39.775
00282,52.562
00283,63.046
00284,16.244
00285,149.310
00287,43.645
00288,21.820
00290,47.865
00291,145.703
00292,39.248
00315,9.874
00316,18.318
00317,8.363
00318,8.240
00320,8.417
00321,8.210
00323,8.304
00324,8.357
00325,9.357
00328,22.581
00330,18.807
00048,50.026
00052,80.472
00099,134.465
00100,66.680
00102,127.754
00103,122.543
00140,26.024
00141,36.127
00142,34.508
00144,24.259
00145,34.522
00146,32.578
00193,60.186
00250,134.302
00060,19.236
00153,40.732
00160,25.181
00171,4.732
00172,4.360
00173,4.740
00174,4.640
00190,20.840
00197,35.198
00199,13.623
00207,11.680
00210,12.165
00212,11.902
00319,4.342
00329,19.008
00331,18.286
00332,8.593
00333,8.212
00334,12.021
00335,8.790
00336,11.799
00337,11.886
00003,123.348
00237,179.777
00239,175.453
00240,174.702
00274,32.893
