spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00001,org.apache.commons.codec.DecoderException.getMessage()Ljava/lang/String;,org.apache.commons.codec.DecoderException.getCause()Ljava/lang/Throwable;,org.apache.commons.codec.DecoderExceptionTest#testConstructorString,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD
00002,org.apache.commons.codec.EncoderException.getMessage()Ljava/lang/String;,org.apache.commons.codec.EncoderException.getCause()Ljava/lang/Throwable;,org.apache.commons.codec.EncoderExceptionTest#testConstructorStringThrowable,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD
00036,org.apache.commons.codec.binary.Base16.ensureBufferSize(ILorg/apache/commons/codec/binary/BaseNCodec$Context;)[B,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,org.apache.commons.codec.binary.Base16Test#testBase16AtBufferStart,u,spurious-spec,INSPECTION_TODO;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;MULTIPLE_PERTURBATIONS;REPLACEMENT_VALUE_UNCLEAR
00039,org.apache.commons.codec.binary.Base16.getCodecPolicy()Lorg/apache/commons/codec/CodecPolicy;,org.apache.commons.codec.binary.Base16.decode([B)[B,org.apache.commons.codec.binary.Base16Test#testLenientDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD
00040,org.apache.commons.codec.binary.Base16.getCodecPolicy()Lorg/apache/commons/codec/CodecPolicy;,org.apache.commons.codec.binary.Base16.ensureBufferSize(ILorg/apache/commons/codec/binary/BaseNCodec$Context;)[B,org.apache.commons.codec.binary.Base16Test#testLenientDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD
00041,org.apache.commons.codec.binary.Base16.getCodecPolicy()Lorg/apache/commons/codec/CodecPolicy;,org.apache.commons.codec.binary.Base16.isStrictDecoding()Z,org.apache.commons.codec.binary.Base16Test#testLenientDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD
00042,org.apache.commons.codec.binary.Base16.getCodecPolicy()Lorg/apache/commons/codec/CodecPolicy;,org.apache.commons.codec.binary.Base16.validateTrailingCharacter()V,org.apache.commons.codec.binary.Base16Test#testLenientDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS;ONE_STATELESS_METHOD
00043,org.apache.commons.codec.binary.Base16.getCodecPolicy()Lorg/apache/commons/codec/CodecPolicy;,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,org.apache.commons.codec.binary.Base16Test#testLenientDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD
00044,org.apache.commons.codec.binary.Base16.getCodecPolicy()Lorg/apache/commons/codec/CodecPolicy;,org.apache.commons.codec.binary.BaseNCodec.getDefaultBufferSize()I,org.apache.commons.codec.binary.Base16Test#testLenientDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATELESS_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00045,org.apache.commons.codec.binary.Base16.getCodecPolicy()Lorg/apache/commons/codec/CodecPolicy;,org.apache.commons.codec.binary.BaseNCodec.readResults([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)I,org.apache.commons.codec.binary.Base16Test#testLenientDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ONE_STATELESS_METHOD
00055,org.apache.commons.codec.binary.Base16InputStream.read([BII)I,org.apache.commons.codec.binary.Base16InputStream.read()I,org.apache.commons.codec.binary.Base16InputStreamTest#testSkipNone,u,spurious-spec,DYNAMIC_DISPATCH;ORDER_OF_ASSERTIONS;REVERSE_NBP;RETURN_VALUE_DISCARDED
00057,org.apache.commons.codec.binary.Base16InputStream.skip(J)J,org.apache.commons.codec.binary.Base16InputStream.close()V,org.apache.commons.codec.binary.Base16InputStreamTest#testSkipNone,u,unknown,ASM_ERROR
00058,org.apache.commons.codec.binary.Base16InputStream.skip(J)J,org.apache.commons.codec.binary.Base16InputStream.read()I,org.apache.commons.codec.binary.Base16InputStreamTest#testSkipNone,u,spurious-spec,ASM_ERROR
00069,org.apache.commons.codec.binary.Base32.containsAlphabetOrPad([B)Z,org.apache.commons.codec.binary.Base32.getEncodedLength([B)J,org.apache.commons.codec.binary.Base32Test#testRandomBytesChunked,u,spurious-spec,ASM_ERROR;UNRELATED_STATELESS_METHODS
00076,org.apache.commons.codec.binary.Base32.ensureBufferSize(ILorg/apache/commons/codec/binary/BaseNCodec$Context;)[B,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,org.apache.commons.codec.binary.Base32InputStreamTest#testBase32EmptyInputStreamMimeChuckSize,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING
00079,org.apache.commons.codec.binary.Base32.isInAlphabet(B)Z,org.apache.commons.codec.binary.Base32.getEncodedLength([B)J,org.apache.commons.codec.binary.Base32Test#testRandomBytesChunked,u,spurious-spec,ASM_ERROR;UNRELATED_STATELESS_METHODS
