spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00049,org.apache.commons.exec.DefaultExecuteResultHandler.getExitValue()I,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithError,u,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATEFUL_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00053,org.apache.commons.exec.DefaultExecuteResultHandler.waitFor(J)V,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithTimelyUserTermination,u,unknown,METHOD_A_RETURNS_VOID;ORDER_OF_ASSERTIONS;CONNECTION_DOES_NOT_NECESSITATE_ORDERING
00054,org.apache.commons.exec.DefaultExecuteResultHandler.waitFor(J)V,org.apache.commons.exec.DefaultExecuteResultHandler.getExitValue()I,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithError,u,unknown,METHOD_A_RETURNS_VOID;ORDER_OF_ASSERTIONS;REVISIT
00057,org.apache.commons.exec.DefaultExecuteResultHandler.waitFor()V,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,unknown,METHOD_A_RETURNS_VOID;ORDER_OF_ASSERTIONS;REVISIT
00072,org.apache.commons.exec.DefaultExecutor.createThread(Ljava/lang/Runnable;Ljava/lang/String;)Ljava/lang/Thread;,org.apache.commons.exec.Executor.isFailure(I)Z,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithError,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS
00078,org.apache.commons.exec.DefaultExecutor.executeInternal(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;Lorg/apache/commons/exec/ExecuteStreamHandler;)I,org.apache.commons.exec.Executor.getWorkingDirectory()Ljava/io/File;,org.apache.commons.exec.DefaultExecutorTest#testExecute,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION;ONE_STATELESS_METHOD
00091,org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;)I,org.apache.commons.exec.Executor.getWorkingDirectory()Ljava/io/File;,org.apache.commons.exec.DefaultExecutorTest#testExecute,u,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;ONE_STATELESS_METHOD
00101,org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.Executor.isFailure(I)Z,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsync,u,spurious-spec,METHOD_A_RETURNS_VOID;ORDER_OF_ASSERTIONS;CONNECTION_DOES_NOT_NECESSITATE_ORDERING
00117,org.apache.commons.exec.DefaultExecutor.getExecutorThread()Ljava/lang/Thread;,org.apache.commons.exec.Executor.isFailure(I)Z,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsync,u,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS
00120,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,org.apache.commons.exec.DefaultExecutor.closeProcessStreams(Ljava/lang/Process;)V,org.apache.commons.exec.DefaultExecutorTest#testExecute,u,true-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00121,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,org.apache.commons.exec.DefaultExecutor.getExceptionCaught()Ljava/io/IOException;,org.apache.commons.exec.DefaultExecutorTest#testExecute,u,true-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00123,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,org.apache.commons.exec.DefaultExecutor.isFailure(I)Z,org.apache.commons.exec.DefaultExecutorTest#testExecute,u,true-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
