id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00002,yes,lv-ls-u,lv-ls-u,true-spec,WEAK_ORACLE;GOOD_EXAMPLE;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;RETURN_VALUE_DISCARDED,0,2,0,0,no
00003,no,lv-ls-u,ls,spurious-spec,WEAK_ORACLE;GOOD_EXAMPLE;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;RETURN_VALUE_DISCARDED,0,0,0,0,no
00004,no,ls,ls,spurious-spec,ONE_PURE_SETTER;WEAK_ORACLE;RETURN_VALUE_DISCARDED,0,0,0,0,no
00005,yes,lv-ls-u,lv-ls-u,true-spec,WEAK_ORACLE;GOOD_EXAMPLE;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;RETURN_VALUE_DISCARDED,0,2,0,0,no
00006,yes,lv-ls,lv-ls,true-spec,WEAK_ORACLE;EXPECTED_EXCEPTION;GOOD_EXAMPLE;RETURN_VALUE_DISCARDED,0,2,0,0,no
00007,no,lv-ls,ls,spurious-spec,UNRELATED_STATEFUL_METHODS;RETURN_VALUE_DISCARDED;DELAY_CAUSES_OUTPUT_CORRUPTION;METHOD_B_AFTER_CRITICAL_POINT;EXPECTED_EXCEPTION;WEAK_ORACLE,0,0,0,0,no
00008,no,ls,ls,spurious-spec,ONE_PURE_SETTER;WEAK_ORACLE;RETURN_VALUE_DISCARDED,0,0,0,0,no
00009,yes,lv-ls,lv-ls,true-spec,EXPECTED_EXCEPTION;WEAK_ORACLE;RETURN_VALUE_DISCARDED,0,2,0,0,no
00014,yes,lv,lv,true-spec,METHOD_B_AFTER_CRITICAL_POINT;RETURN_VALUE_DISCARDED,0,8,0,0,no
00015,yes,lv,lv,true-spec,METHOD_B_AFTER_CRITICAL_POINT;RETURN_VALUE_DISCARDED,0,8,0,0,no
00016,no,lv,ls,spurious-spec,METHOD_B_AFTER_CRITICAL_POINT;RETURN_VALUE_DISCARDED,0,0,0,0,no
00017,no,lv,ls,spurious-spec,METHOD_B_AFTER_CRITICAL_POINT;RETURN_VALUE_DISCARDED,0,0,0,0,no
00018,yes,lv,lv,true-spec,RETURN_VALUE_DISCARDED,0,8,0,0,no
00019,yes,lv,lv,true-spec,RETURN_VALUE_DISCARDED,0,8,0,0,no
