id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00001,yes,u,u,true-spec,DYNAMIC_DISPATCH;ORDER_OF_ASSERTIONS;REVERSE_NBP;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT,0,0,1,1,no
00003,no,lv-ls-e,ls,spurious-spec,UNRELATED_STATELESS_METHODS;LOSSY_REPLACEMENT,0,0,0,0,no
00004,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD,0,0,0,0,no
00005,yes,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,1,0,0,no
00006,yes,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,1,0,0,no
00017,yes,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,1,0,0,no
00018,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00019,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00020,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00021,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00022,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00023,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00024,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00025,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00026,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00027,yes,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,1,0,0,no
00029,yes,ls-e,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE,0,0,0,1,no
00030,yes,ls-e,ls-e,true-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;MULTIPLE_PERTURBATIONS;WEAK_ORACLE,1,1,1,1,no
00031,yes,ls-e,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI,0,1,0,1,no
00033,no,ls-e,ls,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;DYNAMIC_DISPATCH;WEAK_ORACLE,0,0,0,0,no
00034,no,ls-e,ls,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE;ONE_STATELESS_METHOD,0,0,0,0,no
00036,yes,ls-e,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;MULTIPLE_PERTURBATIONS;WEAK_ORACLE,0,1,0,1,no
00038,no,u-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;UNRELATED_STATELESS_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00039,no,u-e,ls,spurious-spec,MULTIPLE_PERTURBATIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;STATE_POLLUTION_BY_DSI;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00040,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATELESS_METHODS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00041,no,ls-u-e,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;WEAK_ORACLE;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00042,no,ls-u-e,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;WEAK_ORACLE;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00043,no,ls-u-e,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;WEAK_ORACLE;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00044,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS,0,0,0,0,no
00045,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,3,0,0,no
00046,yes,ls-u-e,ls-u-e,unknown,STATE_POLLUTION_BY_DSI;EXPECTED_EXCEPTION;WEAK_ORACLE;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,2,0,0,no
00047,yes,lv-u-e,lv-u-e,true-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,4,0,0,no
00048,no,lv-ls,ls,spurious-spec,ONE_STATELESS_METHOD,0,0,0,0,no
00049,yes,u-e,u-e,true-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR,0,4,0,0,no
00050,no,u-e,ls,true-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00051,yes,u-e,u-e,true-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,2,0,0,no
00052,no,lv-ls,ls,spurious-spec,WEAK_ORACLE;STATE_RESTORED,0,0,0,0,no
00053,no,u-e,ls,true-spec,STATE_POLLUTION_BY_DSI,0,0,0,0,no
00054,no,u-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00055,no,u-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;ONE_STATELESS_METHOD,0,0,0,0,no
00056,yes,u,u,true-spec,ASM_ERROR,0,3,0,0,no
00057,yes,ls-u-e,ls-u-e,unknown,STATE_POLLUTION_BY_DSI;EXPECTED_EXCEPTION;WEAK_ORACLE;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,2,0,0,no
00059,yes,lv-u,lv-u,true-spec,GOOD_EXAMPLE;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;MULTIPLE_PERTURBATIONS,0,2,0,0,no
00060,yes,lv,lv,true-spec,,0,3,0,0,no
00061,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR,0,0,0,1,no
00062,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,1,1,no
00063,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR,0,0,1,1,no
00064,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR,0,0,0,1,no
00065,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR,0,0,0,1,no
00066,no,u-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR,0,0,0,0,no
00067,no,u-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR;ONE_STATELESS_METHOD,0,0,0,0,no
00069,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;ASM_ERROR,0,0,0,1,no
00070,yes,ls-e,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE,0,0,0,1,no
00071,yes,lv-e,lv-e,true-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI,0,0,1,1,no
00075,yes,ls-e,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;DYNAMIC_DISPATCH;WEAK_ORACLE,0,0,0,1,no
00076,no,ls-u-e,ls,spurious-spec,REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;ORDER_OF_ASSERTIONS;ONE_STATELESS_METHOD;WEAK_ORACLE;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI,0,0,0,0,no
00077,yes,ls-e,ls-e,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE,0,0,0,1,no
