id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00001,yes,lv,lv,true-spec,METHOD_A_RETURNS_VOID;METHODS_FROM_TEST_CLASS;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,5,43,1,1,no
00002,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD,0,0,0,0,no
00003,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_PURE_SETTERS;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00004,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD,0,0,0,0,no
00005,yes,lv-ls,lv-ls,true-spec,METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONFIGURATION,0,1,1,1,no
00006,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;CONFIGURATION,0,0,0,0,no
00007,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;CONFIGURATION,0,0,0,0,no
00008,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE;CONFIGURATION,0,0,0,0,no
00009,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;CONFIGURATION,0,0,0,0,no
00010,no,ls-u,ls,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONFIGURATION;WEAK_ORACLE,0,0,0,0,no
00011,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE;CONFIGURATION,0,0,0,0,no
00012,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE;CONFIGURATION,0,0,0,0,no
00013,no,ls-u,ls,spurious-spec,METHOD_A_RETURNS_VOID;CONFIGURATION,0,0,0,0,no
00014,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;GOOD_EXAMPLE;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00015,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00016,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00017,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00018,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00019,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00020,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00021,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;DELAY_OF_A_CAUSES_UNEXPECTED_EXCEPTION,0,0,0,0,no
00023,no,ls,ls,spurious-spec,UNRELATED_STATELESS_METHODS;MULTIPLE_PERTURBATIONS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00024,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00025,no,lv-ls,ls,spurious-spec,ONE_STATELESS_METHOD;EXPECTED_EXCEPTION,0,0,0,0,no
00026,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATELESS_METHODS;MULTIPLE_PERTURBATIONS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00027,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00028,yes,lv-ls,lv-ls,spurious-spec,EXPECTED_EXCEPTION;WEAK_ORACLE,1,0,1,0,no
00029,no,ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00030,no,ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;MULTIPLE_PERTURBATIONS;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00031,no,ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;ONE_STATELESS_METHOD;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00032,no,lv-ls,ls,spurious-spec,SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;ONE_STATELESS_METHOD;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION;MORE_COMPLEX_THAN_AB,0,0,0,0,no
00033,no,lv-ls,ls,spurious-spec,SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;ONE_STATELESS_METHOD;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION;MORE_COMPLEX_THAN_AB,0,0,0,0,no
00034,no,ls,ls,spurious-spec,SWALLOWED_EXCEPTION;INSPECTION_TODO;ONE_STATELESS_METHOD;GOOD_EXAMPLE;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00035,no,ls,ls,spurious-spec,SWALLOWED_EXCEPTION;INSPECTION_TODO;ONE_STATELESS_METHOD;GOOD_EXAMPLE;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00036,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00037,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00038,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00039,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00040,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00041,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00042,yes,u,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS,0,0,0,1,yes
00043,yes,u,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS,0,0,0,1,yes
00044,no,ls,ls,spurious-spec,INSPECTION_TODO;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00045,no,ls,ls,spurious-spec,INSPECTION_TODO;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00046,no,ls,ls,spurious-spec,INSPECTION_TODO;UNRELATED_STATELESS_METHODS;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00047,no,ls,ls,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00048,no,lv-ls,ls,spurious-spec,ONE_STATELESS_METHOD;EXPECTED_EXCEPTION;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00049,no,lv-ls,ls,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION,0,0,0,0,no
00050,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00051,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00052,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00057,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE;UNRELATED_STATEFUL_METHODS;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC,0,0,0,0,no
00058,yes,lv-ls,lv-ls,unknown,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC,0,1,0,0,no
00059,yes,lv-ls,lv-ls,unknown,SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE,0,1,0,0,no
00060,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00061,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00062,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00063,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00064,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00065,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00066,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00067,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00068,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00070,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE;UNRELATED_STATEFUL_METHODS;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC,0,0,0,0,no
00071,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE;UNRELATED_STATEFUL_METHODS;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC,0,0,0,0,no
00072,no,ls,ls,spurious-spec,UNRELATED_STATEFUL_METHODS;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;METHOD_A_RETURNS_VOID;MODIFIED_STATE_DOES_NOT_INTERSECT;WEAK_ORACLE,0,0,0,0,no
00073,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00074,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00076,yes,lv,lv,sometimes-true-spec,METHOD_A_RETURNS_VOID;UNINTERESTING_SPEC;SOMETIMES_TRUE_SPEC;ONE_STATELESS_METHOD,0,1,0,0,no
00077,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;STATE_RESTORED,0,0,0,0,no
00078,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;METHOD_B_AFTER_CRITICAL_POINT,0,0,0,0,no
00079,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00080,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00081,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;METHOD_B_AFTER_CRITICAL_POINT;GOOD_EXAMPLE,0,0,0,0,no
00082,yes,lv,lv,sometimes-true-spec,METHOD_A_RETURNS_VOID;SOMETIMES_TRUE_SPEC,0,1,0,0,no
00083,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;METHOD_B_AFTER_CRITICAL_POINT;GOOD_EXAMPLE,0,0,0,0,no
00084,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;ONE_PURE_SETTER,0,0,0,0,no
00085,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;ONE_PURE_SETTER,0,0,0,0,no
00086,yes,u,u,sometimes-true-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;ONE_PURE_SETTER;SOMETIMES_TRUE_SPEC,0,1,0,0,no
00087,no,lv-ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;MULTIPLE_PERTURBATIONS;ONE_PURE_SETTER,0,0,0,0,no
00088,yes,lv-ls,lv-ls,spurious-spec,METHOD_A_RETURNS_VOID;MULTIPLE_PERTURBATIONS;ONE_PURE_SETTER,0,1,0,0,no
00089,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;ONE_PURE_SETTER,0,0,0,0,no
00090,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;MULTIPLE_PERTURBATIONS;ONE_PURE_SETTER,0,0,0,0,no
00091,yes,u,u,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;ONE_PURE_SETTER,0,1,0,0,no
00092,yes,u,u,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_STATEFUL_METHODS;ONE_PURE_SETTER,0,1,0,0,no
00097,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00098,no,u,ls,spurious-spec,ORDER_OF_ASSERTIONS;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00102,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;MULTIPLE_PERTURBATIONS;STATE_RESTORED,0,0,0,0,no
00103,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;MULTIPLE_PERTURBATIONS;STATE_RESTORED,0,0,0,0,no
00104,yes,ls,ls,unknown,INSPECTION_TODO;MULTIPLE_PERTURBATIONS;METHOD_A_RETURNS_VOID;STATE_RESTORED,1,0,2,0,no
00105,yes,lv,lv,true-spec,METHOD_A_RETURNS_VOID,0,1,0,0,no
00106,yes,u,u,spurious-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;NO_COVERAGE;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,0,1,yes
00107,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00108,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00109,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;REVERSE_NBP,0,0,0,0,no
00110,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;REVERSE_NBP,0,0,0,0,no
00111,no,lv-ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00112,no,ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00113,no,lv-ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00118,yes,lv-ls,lv-ls,unknown,METHOD_A_RETURNS_VOID;EXPECTED_EXCEPTION;WEAK_ORACLE,0,2,0,0,no
00119,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;MULTIPLE_PERTURBATIONS;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00120,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;STATE_RESTORED;ONE_PURE_SETTER,0,0,0,0,no
00121,no,lv,ls,spurious-spec,METHOD_A_RETURNS_VOID;MULTIPLE_PERTURBATIONS;ONE_PURE_SETTER,0,0,0,0,no
00122,no,lv,ls,spurious-spec,MULTIPLE_PERTURBATIONS;METHOD_B_AFTER_CRITICAL_POINT;METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;ONE_PURE_SETTER,0,0,0,0,no
00123,no,lv,ls,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;MULTIPLE_PERTURBATIONS;METHOD_B_AFTER_CRITICAL_POINT;METHOD_A_RETURNS_VOID;ONE_PURE_SETTER,0,0,0,0,no
00124,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;METHOD_B_AFTER_CRITICAL_POINT;ONE_PURE_SETTER,0,0,0,0,no
00125,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00126,yes,lv,lv,spurious-spec,METHOD_A_RETURNS_VOID;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,1,0,1,yes
00127,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00128,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00129,yes,ls,ls,true-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;MULTIPLE_PERTURBATIONS,0,3,0,1,yes
00130,no,ls,ls,spurious-spec,WEAK_ORACLE;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00131,no,ls,ls,spurious-spec,WEAK_ORACLE;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00132,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00133,no,ls,ls,spurious-spec,WEAK_ORACLE;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00134,no,ls,ls,spurious-spec,WEAK_ORACLE;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00135,no,ls,ls,spurious-spec,WEAK_ORACLE;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00136,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00137,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;WEAK_ORACLE;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00138,no,ls,ls,spurious-spec,WEAK_ORACLE;REPLACEMENT_VALUE_UNCLEAR,0,0,0,0,no
00139,no,ls,ls,spurious-spec,WEAK_ORACLE;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00140,no,ls,ls,spurious-spec,ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00141,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE,0,0,0,0,no
00142,yes,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;WEAK_ORACLE,0,0,0,1,yes
00143,yes,ls,ls,true-spec,UNINTERESTING_SPEC;METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;ONE_PURE_SETTER;WEAK_ORACLE,0,1,0,0,no
