id,description,num
0,Number of total specs (non-nbp),263
1,Number of verdict-accurate specs (DSI),83
2,Number of verdict-accurate specs (DSI + state),209
3,Number of newly verdict-accurate specs ((2) - (1)),136
4,Number of newly verdict-inaccurate specs ((1) - (2)),10
5,% accuracy (DSI),31.56
6,% accuracy (DSI + state),79.47
7,Number of tag-accurate state comparisons,121
8,Number of tag-inaccurate state comparisons,6
9,Number of tag-unsure state comparisons,136
10,Number of errored state comparisons,0
11,Number of specs for which additional DSI would be run (yes or err),44
12,Number of specs for which JDK analysis was done,22
13,Number of specs for which JDK and DSI were run,0
14,Number of total specs (with NBP),442
15,Number of verdict-accurate specs (DSI + state + ideal NBP checker),388
16,% accuracy (DSI + state + ideal NBP checker / total specs with NBP),87.78
17,Number of accurate LV specs in original DSI,13
18,Number of accurate LS specs in original DSI,70
19,% hit on True Specs/STS for original DSI,50.0
20,% hit on Spurious Specs for original DSI,29.54
21,% hit on True Specs/STS for DSI + state,11.54
22,% hit on Spurious Specs for DSI + state,86.92
