id,description,num
0,Number of total specs (non-nbp),162
1,Number of verdict-accurate specs (DSI),41
2,Number of verdict-accurate specs (DSI + state),88
3,Number of newly verdict-accurate specs ((2) - (1)),48
4,Number of newly verdict-inaccurate specs ((1) - (2)),1
5,% accuracy (DSI),25.31
6,% accuracy (DSI + state),54.32
7,Number of tag-accurate state comparisons,46
8,Number of tag-inaccurate state comparisons,15
9,Number of tag-unsure state comparisons,101
10,Number of errored state comparisons,0
11,Number of specs for which additional DSI would be run (yes or err),59
12,Number of specs for which JDK analysis was done,53
13,Number of specs for which JDK and DSI were run,53
14,Number of total specs (with NBP),210
15,Number of verdict-accurate specs (DSI + state + ideal NBP checker),136
16,% accuracy (DSI + state + ideal NBP checker / total specs with NBP),64.76
17,Number of accurate LV specs in original DSI,12
18,Number of accurate LS specs in original DSI,29
19,% hit on True Specs/STS for original DSI,15.19
20,% hit on Spurious Specs for original DSI,34.94
21,% hit on True Specs/STS for DSI + state,13.92
22,% hit on Spurious Specs for DSI + state,92.77
