spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00029,org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE
00030,org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.FileItem.delete()V,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,true-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;MULTIPLE_PERTURBATIONS;WEAK_ORACLE
00031,org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.FileItem.getString()Ljava/lang/String;,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI
00032,org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.get()[B,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;DYNAMIC_DISPATCH_SAME_METHOD;WEAK_ORACLE
00033,org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.getCharSet()Ljava/lang/String;,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;DYNAMIC_DISPATCH;WEAK_ORACLE
00034,org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.getContentType()Ljava/lang/String;,org.apache.commons.fileupload2.DefaultFileItemTest#testBelowThreshold,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE;ONE_STATELESS_METHOD
00036,org.apache.commons.fileupload2.FileItem.get()[B,org.apache.commons.fileupload2.disk.DiskFileItem.getStoreLocation()Ljava/io/File;,org.apache.commons.fileupload2.DiskFileItemSerializeTest#testAboveThreshold,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;MULTIPLE_PERTURBATIONS;WEAK_ORACLE
00070,org.apache.commons.fileupload2.FileItem.getString()Ljava/lang/String;,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE
00075,org.apache.commons.fileupload2.FileItem.getString()Ljava/lang/String;,org.apache.commons.fileupload2.disk.DiskFileItem.getStoreLocation()Ljava/io/File;,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;DYNAMIC_DISPATCH;WEAK_ORACLE
00077,org.apache.commons.fileupload2.FileItem.isInMemory()Z,org.apache.commons.fileupload2.DefaultFileItem.getStoreLocation()Ljava/io/File;,org.apache.commons.fileupload2.DefaultFileItemTest#testAboveThresholdDefaultRepository,ls-e,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;REPLACE_RETURN_WITH_EXPECTED_OUTPUT;STATE_POLLUTION_BY_DSI;WEAK_ORACLE
