id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00001,126.592,16.220,0,0,0,142.812,142.812,142.812,309.287
00002,124.150,15.599,0,0,0,139.749,139.749,139.749,235.158
00010,124.757,16.872,0,0,0,141.629,141.629,141.629,1488.154
00033,97.598,24.385,0,0,0,121.983,121.983,121.983,35.505
00034,120.587,16.146,0,0,0,136.733,136.733,136.733,67.860
00035,100.433,22.592,0,0,0,123.025,123.025,123.025,64.936
00036,127.507,15.660,0,0,0,143.167,143.167,1007.454,864.287
00038,111.992,19.580,0,0,0,131.572,131.572,782.304,650.732
00039,127.823,15.510,0,0,0,143.333,143.333,143.333,55.498
00040,128.334,15.614,0,0,0,143.948,143.948,143.948,58.644
00041,127.048,15.912,0,0,0,142.960,142.960,142.960,151.238
00042,125.012,16.339,0,0,0,141.351,141.351,141.351,123.208
00043,122.896,16.891,0,0,0,139.787,139.787,139.787,14.267
00044,127.669,15.763,0,0,0,143.432,143.432,143.432,38.995
00045,128.304,15.896,0,0,0,144.200,144.200,144.200,13.496
00046,113.605,11.074,0,0,0,124.679,124.679,124.679,11.233
00047,111.356,10.989,0,0,0,122.345,122.345,122.345,10.490
00049,107.732,11.103,0,0,0,118.835,118.835,118.835,10.421
00050,108.840,11.859,0,0,0,120.699,120.699,120.699,9.932
00051,85.888,20.730,0,0,0,106.618,106.618,106.618,34.294
00052,104.292,21.490,0,0,0,125.782,125.782,125.782,37.588
00054,116.936,16.110,0,0,0,133.046,133.046,133.046,115.004
00055,128.158,15.893,0,0,0,144.051,144.051,185.062,41.011
00057,127.338,15.517,0,0,0,142.855,142.855,142.855,73.264
00058,127.263,16.260,0,0,0,143.523,143.523,143.523,15.201
00064,101.142,24.040,0,0,0,125.182,125.182,125.182,43.416
00065,100.491,21.894,0,0,0,122.385,122.385,122.385,43.146
00066,105.434,20.253,0,0,0,125.687,125.687,125.687,48.707
00068,82.087,33.908,0,0,0,115.995,115.995,115.995,143.066
00069,127.168,16.092,0,0,0,143.260,143.260,143.260,11.655
00071,104.253,20.690,0,0,0,124.943,124.943,124.943,33.454
00072,82.088,32.048,0,0,0,114.136,114.136,114.136,68.131
00073,101.643,29.481,0,0,0,131.124,131.124,131.124,32.157
00074,103.950,26.805,0,0,0,130.755,130.755,130.755,66.158
00075,109.169,28.200,0,0,0,137.369,137.369,137.369,136.237
00076,121.625,15.541,0,0,0,137.166,137.166,207.849,70.683
00078,114.900,22.688,0,0,0,137.588,137.588,137.588,235.053
00079,129.122,15.651,0,0,0,144.773,144.773,144.773,32.598
00080,110.810,24.813,0,0,0,135.623,135.623,135.623,276.811
00081,121.628,18.494,0,0,0,140.122,140.122,140.122,250.460
00082,105.626,18.064,0,0,0,123.690,123.690,123.690,32.357
00083,115.434,22.065,0,0,0,137.499,137.499,137.499,245.067
00084,118.498,19.868,0,0,0,138.366,138.366,138.366,98.945
00085,120.331,17.438,0,0,0,137.769,137.769,137.769,65.958
00086,124.431,18.333,0,0,0,142.764,142.764,142.764,243.999
00087,115.756,19.325,0,0,0,135.081,135.081,135.081,69.816
00088,123.303,17.976,0,0,0,141.279,141.279,141.279,174.778
00090,123.617,16.221,0,0,0,139.838,139.838,139.838,163.759
00091,125.127,16.207,0,0,0,141.334,141.334,141.334,32.362
00092,105.128,19.648,0,0,0,124.776,124.776,124.776,31.174
00094,99.816,30.924,0,0,0,130.740,130.740,130.740,108.928
00095,126.451,16.295,0,0,0,142.746,142.746,169.690,26.944
00097,122.004,15.606,0,0,0,137.610,137.610,137.610,65.894
00098,128.020,16.233,0,0,0,144.253,144.253,144.253,7.043
00099,126.964,16.575,0,0,0,143.539,143.539,143.539,5.789
00104,127.584,15.470,0,0,0,143.054,143.054,143.054,67.264
00105,108.704,17.825,0,0,0,126.529,126.529,205.456,78.927
00106,108.403,16.514,0,0,0,124.917,124.917,202.064,77.147
00107,109.374,17.692,0,0,0,127.066,127.066,199.711,72.645
00108,111.677,14.666,0,0,0,126.343,126.343,126.343,34.554
00109,106.447,16.369,0,0,0,122.816,122.816,122.816,35.473
00110,108.300,14.748,0,0,0,123.048,123.048,123.048,33.690
00112,106.028,28.684,0,0,0,134.712,134.712,134.712,236.548
00113,123.999,17.887,0,0,0,141.886,141.886,141.886,120.698
00114,126.699,16.074,0,0,0,142.773,142.773,142.773,35.641
00115,125.476,16.466,0,0,0,141.942,141.942,141.942,137.995
00116,101.196,29.337,0,0,0,130.533,130.533,130.533,122.457
00117,120.515,17.556,0,0,0,138.071,138.071,138.071,251.326
00118,108.950,15.346,0,0,0,124.296,124.296,124.296,22.359
00119,124.381,17.069,0,0,0,141.450,141.450,141.450,94.720
00120,122.423,16.693,0,0,0,139.116,139.116,139.116,276.131
00121,123.122,17.379,0,0,0,140.501,140.501,140.501,215.020
00132,128.201,16.024,0,0,0,144.225,144.225,144.225,70.119
00133,127.967,15.568,0,0,0,143.535,143.535,143.535,20.697
00134,119.077,20.492,0,0,0,139.569,139.569,139.569,47.835
00135,119.254,19.982,0,0,0,139.236,139.236,139.236,19.149
00136,122.247,17.222,0,0,0,139.469,139.469,139.469,17.772
00137,124.103,16.710,0,0,0,140.813,140.813,140.813,31.587
00138,113.507,19.928,0,0,0,133.435,133.435,133.435,32.533
00140,101.515,30.973,0,0,0,132.488,132.488,132.488,29.194
00141,102.484,31.860,0,0,0,134.344,134.344,134.344,22.462
00147,120.771,18.891,0,0,0,139.662,139.662,139.662,30.215
00154,108.078,30.118,0,0,0,138.196,138.196,138.196,152.755
00156,111.643,16.545,0,0,0,128.188,128.188,128.188,36.601
00157,105.636,27.723,0,0,0,133.359,133.359,133.359,30.051
00158,105.812,28.370,0,0,0,134.182,134.182,134.182,25.982
00159,109.932,26.038,0,0,0,135.970,135.970,135.970,238.789
00160,110.172,24.762,0,0,0,134.934,134.934,134.934,221.411
00161,111.672,24.910,0,0,0,136.582,136.582,136.582,31.552
00162,108.081,23.884,0,0,0,131.965,131.965,131.965,27.026
00163,120.265,17.311,0,0,0,137.576,137.576,137.576,1267.183
00164,120.799,18.361,0,0,0,139.160,139.160,139.160,831.079
00166,118.904,20.089,0,0,0,138.993,138.993,138.993,73.056
00167,114.947,19.421,0,0,0,134.368,134.368,134.368,70.211
00169,123.222,16.588,0,0,0,139.810,139.810,139.810,39.746
00170,122.638,17.148,0,0,0,139.786,139.786,139.786,13.991
00171,106.311,24.319,0,0,0,130.630,130.630,130.630,493.633
00172,122.451,16.752,0,0,0,139.203,139.203,139.203,164.333
00181,127.677,14.916,0,0,0,142.593,142.593,142.593,143.279
00183,124.096,17.256,506.610,98.270,20.984,141.352,767.216,767.216,35.453
00184,127.704,15.985,504.529,90.701,22.732,143.689,761.651,761.651,36.325
00185,126.974,15.158,440.107,29.617,18.086,142.132,629.942,629.942,35.253
00186,127.489,15.468,506.458,101.145,19.007,142.957,769.567,769.567,33.694
00187,127.465,14.908,460.613,61.408,24.533,142.373,688.927,688.927,34.416
00188,127.894,15.221,495.365,81.003,30.942,143.115,750.425,750.425,33.373
00189,129.458,14.450,490.312,78.657,32.424,143.908,745.301,745.301,39.071
00190,127.649,15.345,502.550,88.972,25.380,142.994,759.896,759.896,37.221
00191,128.761,14.827,314.089,28.653,6.918,143.588,493.248,493.248,28.156
00192,126.191,14.744,503.963,93.246,21.943,140.935,760.087,760.087,23.429
00193,126.997,15.818,505.179,94.873,21.481,142.815,764.348,764.348,21.282
00194,130.277,14.767,502.187,96.177,20.716,145.044,764.124,764.124,21.029
00196,124.401,16.032,506.680,96.796,20.753,140.433,764.662,764.662,16.298
00197,127.112,15.667,504.305,91.514,22.754,142.779,761.352,761.352,15.446
00198,128.685,15.165,505.481,96.409,21.112,143.850,766.852,766.852,13.750
00199,128.128,15.118,0,0,0,143.246,143.246,154.353,11.107
00200,128.023,15.369,0,0,0,143.392,143.392,155.163,11.771
00201,128.320,14.547,0,0,0,142.867,142.867,154.576,11.709
00203,126.861,14.822,504.820,95.828,20.928,141.683,763.259,763.259,8.802
00204,92.955,8.634,409.002,100.144,19.800,101.589,630.535,630.535,7.114
00205,92.812,8.680,0,0,0,101.492,101.492,107.774,6.282
00206,91.244,9.665,0,0,0,100.909,100.909,107.326,6.417
00210,91.622,9.107,410.383,95.772,18.899,100.729,625.783,625.783,6.510
00212,93.404,7.143,0,0,0,100.547,100.547,105.887,5.340
00215,90.958,6.961,0,0,0,97.919,97.919,154.718,56.799
00216,122.838,17.237,0,0,0,140.075,140.075,173.246,33.171
00219,111.590,22.736,251.939,79.328,21.836,134.326,487.429,487.429,138.198
00224,119.963,18.100,0,0,0,138.063,138.063,138.063,139.773
00225,122.074,16.919,0,0,0,138.993,138.993,138.993,171.875
00226,106.303,16.660,230.496,20.060,4.415,122.963,377.934,377.934,136.750
00227,118.822,17.490,0,0,0,136.312,136.312,136.312,174.545
00236,124.992,16.125,0,0,0,141.117,141.117,141.117,36.723
00237,106.553,23.513,0,0,0,130.066,130.066,130.066,112.128
00238,110.572,23.736,0,0,0,134.308,134.308,134.308,103.268
00240,118.116,19.251,250.078,79.867,23.904,137.367,491.216,491.216,96.115
00241,108.133,23.331,0,0,0,131.464,131.464,131.464,97.092
00248,119.278,17.832,0,0,0,137.110,137.110,137.110,1107.041
00251,121.422,18.220,0,0,0,139.642,139.642,139.642,99.000
00252,124.312,16.430,0,0,0,140.742,140.742,140.742,103.673
00253,122.124,17.024,0,0,0,139.148,139.148,139.148,101.395
00254,124.176,15.685,0,0,0,139.861,139.861,139.861,95.778
00255,113.480,18.601,0,0,0,132.081,132.081,132.081,108.047
00256,106.576,29.086,0,0,0,135.662,135.662,135.662,103.936
00257,99.388,31.893,0,0,0,131.281,131.281,131.281,87.931
00258,120.780,17.415,0,0,0,138.195,138.195,138.195,70.076
00260,115.536,17.524,0,0,0,133.060,133.060,133.060,60.233
00261,102.123,27.876,0,0,0,129.999,129.999,129.999,32.317
00262,96.135,25.168,0,0,0,121.303,121.303,121.303,30.367
00266,97.629,24.252,0,0,0,121.881,121.881,121.881,35.663
00267,89.003,28.300,0,0,0,117.303,117.303,150.352,33.049
00272,93.993,25.892,0,0,0,119.885,119.885,256.319,136.434
00273,94.765,212.732,0,0,0,307.497,307.497,345.967,38.470
00274,106.007,382.932,0,0,0,488.939,488.939,597.191,108.252
00275,96.072,24.716,0,0,0,120.788,120.788,154.282,33.494
00276,110.635,30.537,0,0,0,141.172,141.172,178.774,37.602
00277,108.246,32.324,0,0,0,140.570,140.570,553.936,413.366
00278,113.936,352.745,0,0,0,466.681,466.681,577.578,110.897
00279,96.063,22.701,0,0,0,118.764,118.764,150.448,31.684
00280,114.566,28.934,0,0,0,143.500,143.500,180.335,36.835
00281,93.007,6.899,408.017,99.296,18.719,99.906,625.938,625.938,39.639
00282,112.673,12.617,0,0,0,125.290,125.290,1125.180,999.890
00283,112.848,13.039,0,0,0,125.887,125.887,125.887,1010.156
00285,120.620,21.396,0,0,0,142.016,142.016,142.016,101.812
00286,115.856,23.624,0,0,0,139.480,139.480,139.480,31.712
00287,125.341,17.454,0,0,0,142.795,142.795,142.795,68.127
00288,119.597,18.112,0,0,0,137.709,137.709,137.709,71.182
00289,116.557,20.407,0,0,0,136.964,136.964,136.964,32.686
00290,123.169,20.712,0,0,0,143.881,143.881,143.881,467.340
00296,118.984,18.536,0,0,0,137.520,137.520,137.520,105.731
00297,91.929,6.291,0,0,0,98.220,98.220,98.220,47.724
00298,45.123,6.767,0,0,0,51.890,51.890,60.513,8.623
00302,44.763,6.826,0,0,0,51.589,51.589,57.454,5.865
00305,44.485,6.597,0,0,0,51.082,51.082,56.474,5.392
00306,44.439,6.552,0,0,0,50.991,50.991,56.018,5.027
00308,45.119,6.149,0,0,0,51.268,51.268,55.879,4.611
00311,30.793,6.504,0,0,0,37.297,37.297,41.906,4.609
00312,31.321,5.971,0,0,0,37.292,37.292,41.795,4.503
00313,31.205,6.093,0,0,0,37.298,37.298,41.571,4.273
00316,30.892,6.261,0,0,0,37.153,37.153,37.153,4.136
00317,31.233,5.844,0,0,0,37.077,37.077,37.077,3.952
00318,100.642,20.064,0,0,0,120.706,120.706,120.706,8.292
00319,101.419,21.036,0,0,0,122.455,122.455,122.455,8.074
00320,30.965,6.606,0,0,0,37.571,37.571,37.571,3.894
00321,30.974,6.507,0,0,0,37.481,37.481,37.481,7.841
00322,101.664,20.036,0,0,0,121.700,121.700,121.700,3.990
00323,119.171,17.717,0,0,0,136.888,136.888,136.888,36.615
00324,93.687,25.154,0,0,0,118.841,118.841,118.841,76.254
00325,30.060,5.820,0,0,0,35.880,35.880,35.880,33.005
00326,95.308,23.136,0,0,0,118.444,118.444,118.444,97.190
00330,56.034,16.252,0,0,0,72.286,72.286,72.286,124.298
00331,57.453,16.273,0,0,0,73.726,73.726,73.726,104.534
00333,30.243,7.094,0,0,0,37.337,37.337,37.337,14.375
00334,30.839,5.417,0,0,0,36.256,36.256,36.256,12.573
00336,29.713,7.047,0,0,0,36.760,36.760,36.760,12.263
00339,31.049,5.703,0,0,0,36.752,36.752,36.752,10.594
00340,30.628,4.933,0,0,0,35.561,35.561,35.561,126.348
00342,30.595,6.064,0,0,0,36.659,36.659,36.659,110.517
00344,101.388,21.613,0,0,0,123.001,123.001,123.001,48.733
00345,30.829,5.897,0,0,0,36.726,36.726,36.726,6.184
00346,30.106,7.234,0,0,0,37.340,37.340,37.340,77.586
00347,107.907,15.794,150.833,15.982,4.380,123.701,294.896,347.805,52.909
00348,99.323,19.006,0,0,0,118.329,118.329,118.329,164.871
00349,122.961,17.140,0,0,0,140.101,140.101,140.101,33.714
00350,119.853,16.827,0,0,0,136.680,136.680,136.680,78.849
00351,119.056,15.652,0,0,0,134.708,134.708,134.708,51.597
00352,119.094,18.059,0,0,0,137.153,137.153,163.596,26.443
00353,122.701,15.696,0,0,0,138.397,138.397,215.255,76.858
00354,122.255,15.778,0,0,0,138.033,138.033,183.707,45.674
00355,116.148,15.658,0,0,0,131.806,131.806,131.806,63.653
00356,118.176,15.737,0,0,0,133.913,133.913,197.934,64.021
00357,120.523,17.057,0,0,0,137.580,137.580,137.580,30.429
00358,126.774,16.776,0,0,0,143.550,143.550,143.550,3.933
00359,96.581,21.600,0,0,0,118.181,118.181,118.181,20.481
00360,115.277,17.050,0,0,0,132.327,132.327,132.327,15.789
00361,122.622,14.953,0,0,0,137.575,137.575,141.569,3.994
00362,100.878,28.548,0,0,0,129.426,129.426,148.757,19.331
00363,100.365,19.369,0,0,0,119.734,119.734,119.734,32.420
00364,100.328,23.400,0,0,0,123.728,123.728,155.423,31.695
00371,125.378,15.696,0,0,0,141.074,141.074,141.074,94.047
00372,29.986,7.437,0,0,0,37.423,37.423,37.423,75.671
00373,30.661,6.680,0,0,0,37.341,37.341,37.341,41.450
00377,31.268,6.065,0,0,0,37.333,37.333,37.333,26.093
00380,29.852,5.901,0,0,0,35.753,35.753,35.753,22.176
00381,33.644,6.040,0,0,0,39.684,39.684,39.684,22.352
00383,34.211,7.050,0,0,0,41.261,41.261,41.261,19.440
00386,33.845,5.897,0,0,0,39.742,39.742,39.742,13.389
00387,34.128,7.160,0,0,0,41.288,41.288,41.288,12.163
00388,34.323,6.923,0,0,0,41.246,41.246,41.246,11.801
00391,31.976,8.319,0,0,0,40.295,40.295,40.295,11.448
00392,33.129,7.359,0,0,0,40.488,40.488,40.488,11.197
00393,105.999,16.952,0,0,0,122.951,122.951,122.951,20.667
00394,106.801,15.756,0,0,0,122.557,122.557,122.557,20.559
00395,33.536,6.976,0,0,0,40.512,40.512,40.512,9.665
00396,34.551,6.092,0,0,0,40.643,40.643,40.643,19.909
00397,106.512,16.900,0,0,0,123.412,123.412,123.412,9.315
00402,105.010,14.408,0,0,0,119.418,119.418,119.418,95.386
00403,104.645,15.186,0,0,0,119.831,119.831,119.831,87.213
00404,106.847,10.319,0,0,0,117.166,117.166,117.166,60.525
00408,104.244,10.776,0,0,0,115.020,115.020,115.020,62.064
00409,103.933,10.451,0,0,0,114.384,114.384,114.384,54.424
00410,104.909,10.012,0,0,0,114.921,114.921,114.921,31.846
00412,34.081,5.269,0,0,0,39.350,39.350,39.350,32.246
00413,33.861,5.524,0,0,0,39.385,39.385,39.385,31.344
00414,33.672,7.604,0,0,0,41.276,41.276,41.276,26.402
00415,107.124,16.786,0,0,0,123.910,123.910,123.910,45.891
00416,106.261,16.561,0,0,0,122.822,122.822,122.822,19.178
00417,105.999,15.900,0,0,0,121.899,121.899,121.899,44.703
00418,35.288,7.229,0,0,0,42.517,42.517,42.517,18.313
00419,35.807,7.108,0,0,0,42.915,42.915,46.713,3.798
00420,36.052,6.927,0,0,0,42.979,42.979,46.815,3.836
00421,36.005,6.724,0,0,0,42.729,42.729,42.729,9.151
00422,36.322,6.378,0,0,0,42.700,42.700,42.700,9.008
00423,50.997,14.157,0,0,0,65.154,65.154,65.154,12.042
00424,121.497,16.617,0,0,0,138.114,138.114,138.114,22.422
00425,107.439,18.087,0,0,0,125.526,125.526,125.526,10.992
00430,102.935,10.481,0,0,0,113.416,113.416,113.416,137.318
00431,103.788,9.356,0,0,0,113.144,113.144,113.144,83.119
00432,101.554,8.492,0,0,0,110.046,110.046,110.046,84.436
00436,100.315,8.239,0,0,0,108.554,108.554,108.554,57.099
00437,59.379,4.991,0,0,0,64.370,64.370,64.370,51.703
00438,52.584,4.864,0,0,0,57.448,57.448,57.448,49.625
00440,53.832,13.283,0,0,0,67.115,67.115,67.115,32.707
00441,56.514,13.280,0,0,0,69.794,69.794,69.794,32.613
00442,58.858,15.688,0,0,0,74.546,74.546,74.546,31.312
00443,103.845,17.001,0,0,0,120.846,120.846,120.846,53.673
00444,90.681,25.929,0,0,0,116.610,116.610,116.610,19.402
00445,93.383,28.556,0,0,0,121.939,121.939,121.939,31.125
TOTAL,26371.455,5248.574,9863.996,1813.718,462.646,31620.029,43760.389,48136.796,24853.378
AVG,99.140,19.731,37.082,6.818,1.739,118.872,164.512,180.965,93.433
