id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00002,46.938,20.004,0,0,0,66.942,66.942,316.667,249.725
00003,47.129,16.887,0,0,0,64.016,64.016,64.016,224.546
00004,52.850,15.294,0,0,0,68.144,68.144,68.144,26.685
00005,49.181,17.325,0,0,0,66.506,66.506,282.729,216.223
00006,50.906,23.056,0,0,0,73.962,73.962,209.410,135.448
00007,53.430,23.076,0,0,0,76.506,76.506,76.506,127.661
00008,50.996,16.040,0,0,0,67.036,67.036,67.036,24.548
00009,51.504,22.478,0,0,0,73.982,73.982,192.657,118.675
00014,49.180,18.150,0,0,0,67.330,67.330,125.532,58.202
00015,48.601,18.488,0,0,0,67.089,67.089,93.227,26.138
00016,52.450,16.216,0,0,0,68.666,68.666,68.666,51.572
00017,51.786,15.573,0,0,0,67.359,67.359,67.359,21.338
00018,52.279,13.542,0,0,0,65.821,65.821,116.627,50.806
00019,52.626,14.364,0,0,0,66.990,66.990,87.267,20.277
00020,48.114,23.186,0,0,0,71.300,71.300,71.300,741.180
00021,50.740,19.209,0,0,0,69.949,69.949,69.949,812.314
00024,49.094,20.654,0,0,0,69.748,69.748,69.748,1290.854
00026,54.970,14.672,0,0,0,69.642,69.642,69.642,614.146
00029,52.500,20.242,0,0,0,72.742,72.742,293.666,220.924
00030,53.777,16.692,0,0,0,70.469,70.469,224.086,153.617
00031,52.168,21.705,0,0,0,73.873,73.873,225.842,151.969
00032,50.292,19.965,0,0,0,70.257,70.257,70.257,275.986
00033,51.885,18.506,0,0,0,70.391,70.391,70.391,204.633
00034,54.583,14.009,0,0,0,68.592,68.592,68.592,51.993
00035,54.919,15.198,0,0,0,70.117,70.117,70.117,72.227
00036,53.700,14.432,0,0,0,68.132,68.132,68.132,166.814
00037,53.531,14.183,0,0,0,67.714,67.714,67.714,89.359
00038,51.568,18.312,0,0,0,69.880,69.880,69.880,548.285
00039,55.104,16.345,0,0,0,71.449,71.449,71.449,1131.963
00040,53.488,15.642,0,0,0,69.130,69.130,69.130,1048.706
00041,55.595,16.593,0,0,0,72.188,72.188,72.188,532.123
00042,53.772,16.511,0,0,0,70.283,70.283,70.283,323.009
00043,50.599,16.945,0,0,0,67.544,67.544,67.544,1050.787
00048,55.323,15.448,0,0,0,70.771,70.771,70.771,20.007
00049,58.162,15.624,0,0,0,73.786,73.786,73.786,19.640
00050,47.503,18.237,0,0,0,65.740,65.740,108.752,43.012
00053,60.528,15.485,0,0,0,76.013,76.013,142.259,66.246
00054,59.798,15.995,0,0,0,75.793,75.793,135.329,59.536
00055,60.287,15.496,0,0,0,75.783,75.783,75.783,23.981
00056,59.777,15.415,0,0,0,75.192,75.192,75.192,28.872
00057,59.519,21.879,0,0,0,81.398,81.398,113.340,31.942
00060,60.075,21.131,0,0,0,81.206,81.206,81.206,23.794
00061,50.866,17.513,0,0,0,68.379,68.379,68.379,883.029
00062,51.360,19.277,0,0,0,70.637,70.637,70.637,853.620
00063,52.565,18.315,0,0,0,70.880,70.880,70.880,39.011
00064,54.792,16.849,0,0,0,71.641,71.641,71.641,263.004
00068,54.749,11.952,0,0,0,66.701,66.701,66.701,104.850
00072,59.009,15.433,0,0,0,74.442,74.442,74.442,36.279
00078,55.623,17.421,0,0,0,73.044,73.044,73.044,37.466
00079,47.618,17.836,0,0,0,65.454,65.454,65.454,252.562
00091,58.438,16.230,209.411,43.789,19.645,74.668,347.513,347.513,35.281
00092,47.285,18.172,0,0,0,65.457,65.457,65.457,202.230
00101,58.387,16.776,0,0,0,75.163,75.163,75.163,40.309
00108,52.757,17.799,0,0,0,70.556,70.556,70.556,828.300
