id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00001,84.808,15.866,0,0,0,100.674,100.674,143.713,43.039
00003,67.662,13.208,0,0,0,80.870,80.870,80.870,123.348
00004,59.259,16.877,0,0,0,76.136,76.136,76.136,29.438
00005,65.284,17.843,0,0,0,83.127,83.127,114.769,31.642
00006,66.692,18.437,0,0,0,85.129,85.129,116.960,31.831
00017,65.580,20.694,0,0,0,86.274,86.274,98.116,11.842
00018,67.240,18.906,0,0,0,86.146,86.146,86.146,11.687
00019,70.104,16.602,0,0,0,86.706,86.706,86.706,27.029
00020,69.732,19.247,0,0,0,88.979,88.979,88.979,26.906
00021,73.937,21.812,0,0,0,95.749,95.749,95.749,26.361
00022,67.143,21.212,0,0,0,88.355,88.355,88.355,24.897
00023,68.663,22.908,0,0,0,91.571,91.571,91.571,25.138
00024,71.214,24.177,0,0,0,95.391,95.391,95.391,11.757
00025,73.898,18.214,0,0,0,92.112,92.112,92.112,23.071
00026,71.609,19.391,0,0,0,91.000,91.000,91.000,23.074
00027,73.101,22.265,0,0,0,95.366,95.366,104.877,9.511
00029,82.814,17.359,0,0,0,100.173,100.173,119.633,19.460
00030,85.054,16.047,0,0,0,101.101,101.101,196.283,95.182
00031,84.354,15.820,0,0,0,100.174,100.174,138.026,37.852
00033,85.183,15.748,0,0,0,100.931,100.931,100.931,38.237
00034,82.570,16.490,0,0,0,99.060,99.060,99.060,36.660
00036,84.847,15.292,0,0,0,100.139,100.139,193.071,92.932
00038,34.775,8.883,0,0,0,43.658,43.658,43.658,34.028
00039,34.958,8.868,0,0,0,43.826,43.826,43.826,55.576
00040,80.337,17.855,0,0,0,98.192,98.192,98.192,73.033
00041,54.979,11.532,0,0,0,66.511,66.511,66.511,35.802
00042,55.862,11.047,0,0,0,66.909,66.909,66.909,34.534
00043,56.057,10.934,0,0,0,66.991,66.991,66.991,32.148
