id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00001,161.432,49.172,0,0,0,210.604,210.604,831.532,620.928
00002,159.840,15.580,0,0,0,175.420,175.420,175.420,36.613
00003,141.604,12.781,0,0,0,154.385,154.385,154.385,340.458
00004,144.403,12.389,0,0,0,156.792,156.792,156.792,2493.751
00005,154.815,16.003,0,0,0,170.818,170.818,3001.894,2831.076
00006,139.051,12.927,0,0,0,151.978,151.978,151.978,1788.155
00007,141.490,13.489,0,0,0,154.979,154.979,154.979,1777.156
00008,145.793,10.946,0,0,0,156.739,156.739,156.739,969.645
00009,139.204,13.511,0,0,0,152.715,152.715,152.715,1495.174
00010,138.902,10.092,0,0,0,148.994,148.994,148.994,1848.618
00011,139.022,8.251,0,0,0,147.273,147.273,147.273,852.947
00012,139.921,7.545,0,0,0,147.466,147.466,147.466,1803.928
00013,131.717,9.086,0,0,0,140.803,140.803,140.803,863.949
00014,162.536,18.116,0,0,0,180.652,180.652,180.652,1791.645
00015,162.335,17.404,0,0,0,179.739,179.739,179.739,1811.590
00016,162.277,17.030,0,0,0,179.307,179.307,179.307,997.698
00017,161.740,17.036,0,0,0,178.776,178.776,178.776,1543.350
00018,162.138,17.800,0,0,0,179.938,179.938,179.938,1952.625
00019,161.220,16.750,0,0,0,177.970,177.970,177.970,869.489
00020,162.316,17.206,0,0,0,179.522,179.522,179.522,1805.326
00021,161.758,17.214,0,0,0,178.972,178.972,178.972,866.197
00023,156.988,20.836,0,0,0,177.824,177.824,177.824,5249.152
00024,154.443,23.608,0,0,0,178.051,178.051,178.051,5187.978
00025,153.819,18.046,0,0,0,171.865,171.865,171.865,5234.511
00026,163.787,17.627,0,0,0,181.414,181.414,181.414,115.554
00027,150.893,21.070,0,0,0,171.963,171.963,171.963,230.341
00028,156.386,13.714,0,0,0,170.100,170.100,580.462,410.362
00029,150.772,23.720,0,0,0,174.492,174.492,174.492,6503.118
00030,156.532,18.243,0,0,0,174.775,174.775,174.775,5126.711
00031,157.747,15.047,0,0,0,172.794,172.794,172.794,5066.848
00032,156.354,15.941,0,0,0,172.295,172.295,172.295,6423.763
00033,153.603,24.908,0,0,0,178.511,178.511,178.511,5135.910
00034,162.113,17.314,0,0,0,179.427,179.427,179.427,60.001
00035,161.855,16.653,0,0,0,178.508,178.508,178.508,59.445
00036,162.694,17.605,0,0,0,180.299,180.299,180.299,193.930
00037,162.301,17.703,0,0,0,180.004,180.004,180.004,185.556
00038,162.717,17.379,0,0,0,180.096,180.096,180.096,179.419
00039,164.450,17.150,0,0,0,181.600,181.600,181.600,554.139
00040,162.130,17.275,0,0,0,179.405,179.405,179.405,562.402
00041,162.165,17.602,0,0,0,179.767,179.767,179.767,189.501
00042,161.366,16.159,181.782,80.641,20.368,177.525,460.316,649.121,188.805
00043,161.347,17.873,181.506,78.913,16.424,179.220,456.063,639.789,183.726
00044,154.442,18.012,0,0,0,172.454,172.454,172.454,1653.596
00045,152.063,18.594,0,0,0,170.657,170.657,170.657,1626.842
00046,155.445,16.586,0,0,0,172.031,172.031,172.031,920.638
00047,161.261,17.017,0,0,0,178.278,178.278,178.278,921.158
00048,154.685,24.865,0,0,0,179.550,179.550,179.550,1651.780
00049,153.348,23.203,0,0,0,176.551,176.551,176.551,929.327
00050,156.355,15.776,0,0,0,172.131,172.131,172.131,2237.565
00051,162.073,15.699,0,0,0,177.772,177.772,177.772,2218.101
00052,160.253,16.175,0,0,0,176.428,176.428,176.428,1572.668
00057,162.292,14.774,0,0,0,177.066,177.066,177.066,1472.722
00058,148.141,23.861,0,0,0,172.002,172.002,2395.348,2223.346
00059,150.883,25.019,0,0,0,175.902,175.902,1654.717,1478.815
00060,161.400,15.699,0,0,0,177.099,177.099,177.099,182.907
00061,159.017,16.103,0,0,0,175.120,175.120,175.120,169.982
00062,158.799,16.701,0,0,0,175.500,175.500,175.500,191.552
00063,158.229,15.943,0,0,0,174.172,174.172,174.172,186.563
00064,155.795,16.979,0,0,0,172.774,172.774,172.774,192.511
00065,159.458,14.300,0,0,0,173.758,173.758,173.758,181.187
00066,148.043,16.692,0,0,0,164.735,164.735,164.735,192.920
00067,148.591,17.096,0,0,0,165.687,165.687,165.687,178.816
00068,149.815,20.684,0,0,0,170.499,170.499,170.499,183.140
00070,149.401,22.463,0,0,0,171.864,171.864,171.864,184.876
00071,150.559,24.460,0,0,0,175.019,175.019,175.019,181.694
00072,155.965,18.195,0,0,0,174.160,174.160,174.160,186.951
00073,160.483,17.568,0,0,0,178.051,178.051,178.051,57.695
00074,162.133,17.120,0,0,0,179.253,179.253,179.253,57.839
00076,153.856,16.648,0,0,0,170.504,170.504,220.328,49.824
00077,157.552,16.980,0,0,0,174.532,174.532,174.532,55.949
00078,163.424,17.421,0,0,0,180.845,180.845,180.845,46.240
00079,158.632,17.604,0,0,0,176.236,176.236,176.236,241.332
00080,157.166,17.913,0,0,0,175.079,175.079,175.079,245.287
00081,162.044,16.635,0,0,0,178.679,178.679,178.679,49.287
00082,156.174,22.452,0,0,0,178.626,178.626,228.432,49.806
00083,162.226,18.036,0,0,0,180.262,180.262,180.262,45.882
00084,161.336,16.656,0,0,0,177.992,177.992,177.992,46.507
00085,156.809,16.907,0,0,0,173.716,173.716,173.716,46.671
00086,159.001,17.700,0,0,0,176.701,176.701,223.761,47.060
00087,148.706,15.844,0,0,0,164.550,164.550,164.550,249.591
00088,154.124,20.884,0,0,0,175.008,175.008,423.902,248.894
00089,160.959,17.277,0,0,0,178.236,178.236,178.236,48.416
00090,155.612,17.617,0,0,0,173.229,173.229,173.229,353.993
00091,158.417,19.448,0,0,0,177.865,177.865,228.095,50.230
00092,156.708,20.167,0,0,0,176.875,176.875,226.849,49.974
00097,155.147,18.328,0,0,0,173.475,173.475,173.475,64.028
00098,156.286,17.380,0,0,0,173.666,173.666,173.666,61.157
00102,159.960,16.703,0,0,0,176.663,176.663,176.663,238.379
00103,157.523,16.756,0,0,0,174.279,174.279,174.279,257.151
00104,159.765,17.651,0,0,0,177.416,177.416,428.490,251.074
00105,153.456,23.301,0,0,0,176.757,176.757,226.509,49.752
00106,158.595,17.719,184.531,77.471,18.062,176.314,456.378,523.152,66.774
00107,159.325,17.470,0,0,0,176.795,176.795,176.795,4324.451
00108,156.186,16.954,0,0,0,173.140,173.140,173.140,4313.391
00109,158.421,17.786,0,0,0,176.207,176.207,176.207,4301.216
00110,159.378,17.368,0,0,0,176.746,176.746,176.746,603.488
00111,156.172,23.107,0,0,0,179.279,179.279,179.279,2220.541
