id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00001,75.439,16.586,0,0,0,92.025,92.025,92.025,48.906
00002,74.344,17.910,0,0,0,92.254,92.254,92.254,46.632
00003,75.248,16.548,0,0,0,91.796,91.796,91.796,43.567
00009,69.550,16.322,0,0,0,85.872,85.872,85.872,132.061
00010,18.636,5.802,0,0,0,24.438,24.438,24.438,801.741
00011,16.388,4.606,0,0,0,20.994,20.994,20.994,1126.696
00015,72.835,18.258,0,0,0,91.093,91.093,91.093,1207.956
00016,69.577,18.517,0,0,0,88.094,88.094,88.094,780.573
00017,73.610,16.368,0,0,0,89.978,89.978,89.978,1151.597
00018,74.511,16.851,0,0,0,91.362,91.362,91.362,37.185
00019,75.984,16.669,0,0,0,92.653,92.653,92.653,37.164
00020,26.682,5.845,0,0,0,32.527,32.527,32.527,889.835
00021,23.464,6.980,0,0,0,30.444,30.444,30.444,827.774
00022,23.564,5.736,0,0,0,29.300,29.300,29.300,820.260
00023,73.997,15.721,505.764,47.201,15.944,89.718,658.627,818.940,160.313
00025,16.370,4.716,289.597,57.389,21.020,21.086,389.092,547.850,158.758
00026,45.825,13.297,361.345,26.210,10.562,59.122,457.239,492.005,34.766
00028,71.956,16.657,0,0,0,88.613,88.613,88.613,152.140
00029,16.240,5.624,0,0,0,21.864,21.864,21.864,143.964
00030,47.838,13.125,0,0,0,60.963,60.963,60.963,30.796
00031,45.836,13.127,0,0,0,58.963,58.963,58.963,443.067
00033,68.183,17.460,510.037,48.073,15.544,85.643,659.297,804.428,145.131
00034,16.442,5.600,253.766,58.555,20.345,22.042,354.708,487.302,132.594
00035,48.997,12.520,358.800,29.656,8.611,61.517,458.584,485.440,26.856
00041,74.298,16.157,507.702,51.162,15.801,90.455,665.120,1524.905,859.785
00043,74.691,16.191,497.795,42.509,16.863,90.882,648.049,1495.172,847.123
00046,72.843,16.601,506.256,50.653,16.983,89.444,663.336,1538.712,875.376
00048,23.656,6.849,0,0,0,30.505,30.505,1724.264,1693.759
00049,73.997,16.178,498.115,41.175,15.266,90.175,644.731,1504.680,859.949
00050,23.260,6.007,0,0,0,29.267,29.267,29.267,1440.365
00051,73.338,16.152,509.177,53.548,17.121,89.490,669.336,1483.662,814.326
00054,72.911,15.752,506.529,48.372,17.780,88.663,661.344,1481.486,820.142
00057,74.539,16.416,0,0,0,90.955,90.955,90.955,97.059
00059,72.433,16.464,0,0,0,88.897,88.897,88.897,736.253
00066,75.099,16.855,0,0,0,91.954,91.954,1446.629,1354.675
00067,75.703,16.917,0,0,0,92.620,92.620,92.620,818.178
00068,75.351,16.432,0,0,0,91.783,91.783,91.783,785.150
00069,73.152,17.622,0,0,0,90.774,90.774,90.774,782.575
00070,75.286,16.907,0,0,0,92.193,92.193,92.193,72.118
00074,74.594,17.424,182.195,30.481,6.516,92.018,311.210,378.542,67.332
00075,72.597,17.896,0,0,0,90.493,90.493,915.245,824.752
00080,76.178,17.064,0,0,0,93.242,93.242,93.242,82.654
00081,74.522,16.986,0,0,0,91.508,91.508,91.508,84.434
00082,74.887,17.069,0,0,0,91.956,91.956,91.956,87.217
00083,75.635,16.735,0,0,0,92.370,92.370,92.370,84.211
00086,74.744,16.978,180.954,31.936,6.893,91.722,311.505,380.794,69.289
00087,75.927,17.033,0,0,0,92.960,92.960,892.559,799.599
00091,72.541,16.387,507.287,48.529,16.467,88.928,661.211,702.696,41.485
00092,73.675,15.394,325.615,15.122,5.221,89.069,435.027,477.010,41.983
00093,75.329,14.935,468.654,14.889,6.392,90.264,580.199,625.010,44.811
00094,76.145,16.461,180.058,32.206,6.584,92.606,311.454,354.828,43.374
00095,43.576,15.785,340.635,27.348,7.894,59.361,435.238,476.496,41.258
00096,43.018,17.822,337.421,27.686,7.204,60.840,433.151,478.876,45.725
00097,45.580,16.927,333.353,27.351,6.744,62.507,429.955,472.086,42.131
00098,68.258,17.988,445.048,15.163,4.880,86.246,551.337,594.789,43.452
00099,49.475,13.405,324.629,28.111,5.553,62.880,421.173,465.776,44.603
00100,50.857,13.220,319.140,28.198,5.711,64.077,417.126,462.677,45.551
00101,48.644,11.443,317.417,28.197,5.566,60.087,411.267,451.016,39.749
00103,67.458,17.656,0,0,0,85.114,85.114,174.561,89.447
00104,48.290,12.116,0,0,0,60.406,60.406,156.782,96.376
00105,49.005,12.550,314.610,27.540,5.590,61.555,409.295,494.504,85.209
00107,41.952,8.902,300.982,27.527,5.409,50.854,384.772,465.188,80.416
00108,16.082,4.503,221.427,61.458,18.886,20.585,322.356,635.332,312.976
00109,16.495,5.802,0,0,0,22.297,22.297,22.297,302.297
00110,72.557,16.035,0,0,0,88.592,88.592,88.592,178.038
00111,72.254,16.527,0,0,0,88.781,88.781,88.781,305.327
00112,37.352,17.494,175.562,52.521,17.594,54.846,300.523,705.311,404.788
00113,46.261,17.251,0,0,0,63.512,63.512,63.512,513.001
00114,55.445,19.922,175.290,39.746,14.505,75.367,304.908,1359.689,1054.781
