id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00001,15.887,6.390,0,0,0,22.277,22.277,22.277,7.146
00002,15.889,6.376,0,0,0,22.265,22.265,22.265,5.823
00003,15.958,6.354,75.746,7.095,3.699,22.312,108.852,108.852,18.002
00004,15.972,6.228,0,0,0,22.200,22.200,37.698,15.498
00005,15.739,6.382,0,0,0,22.121,22.121,22.121,1.941
00006,15.597,6.399,68.041,7.046,3.807,21.996,100.890,100.890,4.811
00007,15.303,6.827,0,0,0,22.130,22.130,33.442,11.312
00008,15.710,6.416,0,0,0,22.126,22.126,36.925,14.799
00010,15.684,6.476,0,0,0,22.160,22.160,22.160,14.989
00011,15.834,6.420,0,0,0,22.254,22.254,22.254,4.286
TOTAL,157.573,64.268,143.787,14.141,7.506,221.841,387.275,428.884,98.607
AVG,15.757,6.426,14.378,1.414,.750,22.184,38.727,42.888,9.860
