,spec_id,project
92,00054,commons-codec
235,00350,commons-codec
96,00069,commons-codec
164,00224,commons-codec
109,00095,commons-codec
242,00357,commons-codec
168,00237,commons-codec
267,00404,commons-codec
232,00346,commons-codec
115,00106,commons-codec
140,00184,commons-codec
181,00260,commons-codec
146,00190,commons-codec
282,00425,commons-codec
204,00302,commons-codec
275,00418,commons-codec
179,00257,commons-codec
120,00114,commons-codec
201,00296,commons-codec
97,00071,commons-codec
119,00113,commons-codec
269,00409,commons-codec
118,00112,commons-codec
254,00381,commons-codec
210,00313,commons-codec
101,00079,commons-codec
90,00044,commons-codec
167,00236,commons-codec
169,00238,commons-codec
175,00253,commons-codec
86,00010,commons-codec
286,00437,commons-codec
108,00094,commons-codec
114,00105,commons-codec
245,00361,commons-codec
129,00157,commons-codec
442,00289,commons-exec
455,00303,commons-exec
515,00375,commons-exec
461,00310,commons-exec
463,00312,commons-exec
379,00155,commons-exec
306,00008,commons-exec
342,00063,commons-exec
466,00315,commons-exec
408,00207,commons-exec
448,00296,commons-exec
496,00349,commons-exec
349,00110,commons-exec
347,00108,commons-exec
422,00241,commons-exec
436,00260,commons-exec
313,00019,commons-exec
524,00387,commons-exec
412,00226,commons-exec
335,00054,commons-exec
508,00367,commons-exec
439,00286,commons-exec
467,00316,commons-exec
397,00180,commons-exec
327,00038,commons-exec
493,00344,commons-exec
314,00020,commons-exec
368,00139,commons-exec
318,00029,commons-exec
433,00254,commons-exec
301,00003,commons-exec
321,00032,commons-exec
525,00388,commons-exec
339,00060,commons-exec
417,00235,commons-exec
459,00307,commons-exec
440,00287,commons-exec
334,00053,commons-exec
471,00320,commons-exec
358,00129,commons-exec
676,00272,commons-fileupload
683,00280,commons-fileupload
555,00049,commons-fileupload
666,00258,commons-fileupload
662,00252,commons-fileupload
615,00139,commons-fileupload
668,00261,commons-fileupload
548,00041,commons-fileupload
552,00046,commons-fileupload
650,00239,commons-fileupload
549,00042,commons-fileupload
590,00107,commons-fileupload
672,00267,commons-fileupload
693,00291,commons-fileupload
556,00050,commons-fileupload
640,00198,commons-fileupload
564,00059,commons-fileupload
623,00148,commons-fileupload
599,00121,commons-fileupload
657,00247,commons-fileupload
571,00083,commons-fileupload
583,00100,commons-fileupload
580,00097,commons-fileupload
630,00174,commons-fileupload
620,00145,commons-fileupload
626,00166,commons-fileupload
706,00327,commons-fileupload
535,00021,commons-fileupload
617,00141,commons-fileupload
553,00047,commons-fileupload
582,00099,commons-fileupload
677,00273,commons-fileupload
947,00298,commons-validator
784,00087,commons-validator
910,00256,commons-validator
1130,00528,commons-validator
1088,00454,commons-validator
891,00234,commons-validator
1116,00490,commons-validator
1149,00573,commons-validator
1105,00472,commons-validator
1154,00587,commons-validator
943,00294,commons-validator
814,00135,commons-validator
1028,00387,commons-validator
913,00259,commons-validator
734,00025,commons-validator
1041,00403,commons-validator
850,00176,commons-validator
797,00110,commons-validator
1074,00438,commons-validator
1087,00453,commons-validator
1092,00458,commons-validator
819,00140,commons-validator
758,00051,commons-validator
1050,00413,commons-validator
1054,00417,commons-validator
1112,00485,commons-validator
775,00073,commons-validator
832,00156,commons-validator
994,00351,commons-validator
732,00023,commons-validator
1042,00404,commons-validator
1076,00440,commons-validator
857,00183,commons-validator
773,00071,commons-validator
718,00008,commons-validator
1066,00430,commons-validator
804,00121,commons-validator
717,00007,commons-validator
744,00035,commons-validator
731,00021,commons-validator
1100,00467,commons-validator
748,00039,commons-validator
1117,00491,commons-validator
987,00344,commons-validator
1023,00381,commons-validator
1142,00556,commons-validator
936,00286,commons-validator
1000,00357,commons-validator
1093,00459,commons-validator
1118,00493,commons-validator
711,00001,commons-validator
1034,00395,commons-validator
971,00328,commons-validator
867,00198,commons-validator
788,00097,commons-validator
823,00146,commons-validator
923,00269,commons-validator
1122,00510,commons-validator
1120,00502,commons-validator
1129,00525,commons-validator
980,00337,commons-validator
720,00010,commons-validator
791,00103,commons-validator
929,00275,commons-validator
853,00179,commons-validator
873,00204,commons-validator
914,00260,commons-validator
897,00240,commons-validator
975,00332,commons-validator
849,00175,commons-validator
1094,00460,commons-validator
1153,00586,commons-validator
1040,00402,commons-validator
884,00226,commons-validator
1158,00630,commons-validator
780,00080,commons-validator
1167,00641,commons-validator
1080,00445,commons-validator
802,00119,commons-validator
1047,00410,commons-validator
774,00072,commons-validator
31,00118,joda-convert
80,00203,joda-convert
53,00163,joda-convert
3,00009,joda-convert
78,00201,joda-convert
70,00186,joda-convert
81,00205,joda-convert
1,00002,joda-convert
67,00182,joda-convert
42,00142,joda-convert
7,00016,joda-convert
22,00081,joda-convert
45,00150,joda-convert
0,00001,joda-convert
38,00137,joda-convert
293,00002,kamranzafar.jtar
